,year,team,topicID,un,cut-off,fnCutoff,pairwiseBiasCut
0,2006.0,allbasic,1.0,-1.0,-1.0,-1.0,-1.0
1,2006.0,basic,1.0,-1.0,-1.0,-1.0,-1.0
2,2006.0,body,1.0,-1.0,-1.0,-1.0,-1.0
3,2006.0,DUTEX1,1.0,-1.0,-1.0,-1.0,-1.0
4,2006.0,DUTEX2,1.0,-1.0,-1.0,-1.0,-1.0
5,2006.0,DUTEX3,1.0,-1.0,-1.0,-1.0,-1.0
6,2006.0,DUTEX4,1.0,-1.0,-1.0,-1.0,-1.0
7,2006.0,ex3512,1.0,-1.0,-1.0,-1.0,-1.0
8,2006.0,ex5512,1.0,-1.0,-1.0,-1.0,-1.0
9,2006.0,ex5518,1.0,-1.0,-1.0,-1.0,-1.0
10,2006.0,ex7512,1.0,-1.0,-1.0,-1.0,-1.0
11,2006.0,FDUSF,1.0,-1.0,-1.0,-1.0,-1.0
12,2006.0,FDUSN,1.0,-1.0,-1.0,-1.0,-1.0
13,2006.0,FDUSO,1.0,-1.0,-1.0,-1.0,-1.0
14,2006.0,IBM06EXP,1.0,-1.0,-1.0,-1.0,-1.0
15,2006.0,IBM06MA,1.0,-1.0,-1.0,-1.0,-1.0
16,2006.0,IBM06PR,1.0,-1.0,-1.0,-1.0,-1.0
17,2006.0,IBM06QO,1.0,-1.0,-1.0,-1.0,-1.0
18,2006.0,ICTCSXRUN01,1.0,-1.0,-1.0,-1.0,-1.0
19,2006.0,ICTCSXRUN02,1.0,-1.0,-1.0,-1.0,-1.0
20,2006.0,ICTCSXRUN03,1.0,-1.0,-1.0,-1.0,-1.0
21,2006.0,ICTCSXRUN04,1.0,-1.0,-1.0,-1.0,-1.0
22,2006.0,ICTCSXRUN05,1.0,-1.0,-1.0,-1.0,-1.0
23,2006.0,kmiZhu1,1.0,-1.0,-1.0,-1.0,-1.0
24,2006.0,kmiZhu2,1.0,-1.0,-1.0,-1.0,-1.0
25,2006.0,kmiZhu4,1.0,-1.0,-1.0,-1.0,-1.0
26,2006.0,kmiZhu5,1.0,-1.0,-1.0,-1.0,-1.0
27,2006.0,l3s1,1.0,-1.0,-1.0,-1.0,-1.0
28,2006.0,l3s2,1.0,-1.0,-1.0,-1.0,-1.0
29,2006.0,l3s3,1.0,-1.0,-1.0,-1.0,-1.0
30,2006.0,l3s4,1.0,-1.0,-1.0,-1.0,-1.0
31,2006.0,listbq,1.0,-1.0,-1.0,-1.0,-1.0
32,2006.0,MAPCrelTret,1.0,-1.0,-1.0,-1.0,-1.0
33,2006.0,MAPTrelCret,1.0,-1.0,-1.0,-1.0,-1.0
34,2006.0,PITTMANUAL,1.0,-1.0,-1.0,-1.0,-1.0
35,2006.0,PITTNOPH,1.0,-1.0,-1.0,-1.0,-1.0
36,2006.0,PITTPHFREQ,1.0,-1.0,-1.0,-1.0,-1.0
37,2006.0,PITTPHFULL,1.0,-1.0,-1.0,-1.0,-1.0
38,2006.0,PRISEXB,1.0,-1.0,-1.0,-1.0,-1.0
39,2006.0,PRISEXR,1.0,-1.0,-1.0,-1.0,-1.0
40,2006.0,PRISEXRM,1.0,-1.0,-1.0,-1.0,-1.0
41,2006.0,PRISEXRMT,1.0,-1.0,-1.0,-1.0,-1.0
42,2006.0,quotes,1.0,-1.0,-1.0,-1.0,-1.0
43,2006.0,qutbaseline,1.0,-1.0,-1.0,-1.0,-1.0
44,2006.0,qutlmv2,1.0,-1.0,-1.0,-1.0,-1.0
45,2006.0,qutmoreterms,1.0,-1.0,-1.0,-1.0,-1.0
46,2006.0,SJTU01,1.0,-1.0,-1.0,-1.0,-1.0
47,2006.0,SJTU02,1.0,-1.0,-1.0,-1.0,-1.0
48,2006.0,SJTU03,1.0,-1.0,-1.0,-1.0,-1.0
49,2006.0,SJTU04,1.0,-1.0,-1.0,-1.0,-1.0
50,2006.0,sophiarun1,1.0,-1.0,-1.0,-1.0,-1.0
51,2006.0,sophiarun2,1.0,-1.0,-1.0,-1.0,-1.0
52,2006.0,sophiarun3,1.0,-1.0,-1.0,-1.0,-1.0
53,2006.0,SP,1.0,-1.0,-1.0,-1.0,-1.0
