,year,team,topicID,un,cut-off,fnCutoff,pairwiseBiasCut
88,2005.0,qmirex1,1.0,78.0,40.0,6.0,0.5
89,2005.0,qmirex1,1.0,78.0,78.0,11.0,0.496607869742
90,2005.0,qmirex2,1.0,100.0,10.0,3.0,0.666666666667
91,2005.0,qmirex2,1.0,100.0,20.0,3.0,0.274509803922
92,2005.0,qmirex2,1.0,100.0,40.0,6.0,0.480392156863
93,2005.0,qmirex2,1.0,100.0,80.0,12.0,0.497549019608
94,2005.0,qmirex2,1.0,100.0,100.0,16.0,0.522321428571
95,2005.0,qmirex3,1.0,78.0,10.0,1.0,0.666666666667
96,2005.0,qmirex3,1.0,78.0,20.0,2.0,0.666666666667
97,2005.0,qmirex3,1.0,78.0,40.0,6.0,0.573529411765
98,2005.0,qmirex3,1.0,78.0,78.0,11.0,0.470827679783
99,2005.0,qmirex4,1.0,78.0,10.0,2.0,0.1875
100,2005.0,qmirex4,1.0,78.0,20.0,3.0,0.235294117647
101,2005.0,qmirex4,1.0,78.0,40.0,6.0,0.5
102,2005.0,qmirex4,1.0,78.0,78.0,11.0,0.474898236092
103,2005.0,THUENT0501,1.0,100.0,10.0,1.0,1.0
104,2005.0,THUENT0501,1.0,100.0,20.0,1.0,0.473684210526
105,2005.0,THUENT0501,1.0,100.0,40.0,4.0,0.638888888889
106,2005.0,THUENT0501,1.0,100.0,80.0,12.0,0.627450980392
107,2005.0,THUENT0501,1.0,100.0,100.0,15.0,0.593725490196
108,2005.0,THUENT0502,1.0,100.0,10.0,1.0,0.888888888889
109,2005.0,THUENT0502,1.0,100.0,20.0,1.0,0.421052631579
110,2005.0,THUENT0502,1.0,100.0,40.0,5.0,0.657142857143
111,2005.0,THUENT0502,1.0,100.0,80.0,11.0,0.603425559947
112,2005.0,THUENT0502,1.0,100.0,100.0,13.0,0.538461538462
113,2005.0,THUENT0503,1.0,100.0,10.0,1.0,0.888888888889
114,2005.0,THUENT0503,1.0,100.0,20.0,1.0,0.421052631579
