,year,team,topicID,un,cut-off,fnCutoff,pairwiseBiasCut
100,2005.0,uogES05Cbis,1.0,100,100,11,0.5280898876404494
101,2005.0,CNDS01,2.0,NA,NA,NA,NA
102,2005.0,CNDS02,2.0,NA,NA,NA,NA
103,2005.0,CNDS03,2.0,NA,NA,NA,NA
104,2005.0,CNDS04LC,2.0,NA,NA,NA,NA
105,2005.0,CNDS06,2.0,NA,NA,NA,NA
106,2005.0,DREXEXP1,2.0,NA,NA,NA,NA
107,2005.0,DREXEXP2,2.0,NA,NA,NA,NA
108,2005.0,LLEXemails,2.0,100,10,3,0.5714285714285714
109,2005.0,LLEXemails,2.0,100,20,5,0.49333333333333335
110,2005.0,LLEXemails,2.0,100,40,7,0.3593073593073593
111,2005.0,LLEXemails,2.0,100,80,13,0.43742824339839265
112,2005.0,LLEXemails,2.0,100,100,15,0.4164705882352941
113,2005.0,MSRA051,2.0,100,10,3,0.09523809523809523
114,2005.0,MSRA051,2.0,100,20,5,0.37333333333333335
115,2005.0,MSRA051,2.0,100,40,6,0.25980392156862747
116,2005.0,MSRA051,2.0,100,80,11,0.4189723320158103
117,2005.0,MSRA051,2.0,100,100,14,0.446843853820598
118,2005.0,MSRA052,2.0,100,10,3,0.09523809523809523
119,2005.0,MSRA052,2.0,100,20,5,0.37333333333333335
120,2005.0,MSRA052,2.0,100,40,6,0.2696078431372549
121,2005.0,MSRA052,2.0,100,80,11,0.42028985507246375
122,2005.0,MSRA052,2.0,100,100,14,0.4485049833887043
123,2005.0,MSRA053,2.0,100,10,3,0.09523809523809523
124,2005.0,MSRA053,2.0,100,20,5,0.37333333333333335
125,2005.0,MSRA053,2.0,100,40,6,0.25980392156862747
126,2005.0,MSRA053,2.0,100,80,11,0.4189723320158103
127,2005.0,MSRA053,2.0,100,100,14,0.446843853820598
128,2005.0,MSRA054,2.0,100,10,3,0.09523809523809523
129,2005.0,MSRA054,2.0,100,20,3,0.0392156862745098
130,2005.0,MSRA054,2.0,100,40,8,0.51171875
131,2005.0,MSRA054,2.0,100,80,14,0.43722943722943725
132,2005.0,MSRA054,2.0,100,100,16,0.4181547619047619
133,2005.0,MSRA055,2.0,100,10,3,0.09523809523809523
134,2005.0,MSRA055,2.0,100,20,3,0.0392156862745098
135,2005.0,MSRA055,2.0,100,40,8,0.51953125
136,2005.0,MSRA055,2.0,100,80,13,0.39380022962112515
137,2005.0,MSRA055,2.0,100,100,16,0.4226190476190476
138,2005.0,PRISEX1,2.0,NA,NA,NA,NA
139,2005.0,PRISEX2,2.0,NA,NA,NA,NA
140,2005.0,PRISEX3,2.0,NA,NA,NA,NA
141,2005.0,PRISEX4,2.0,NA,NA,NA,NA
142,2005.0,PRISEX5,2.0,NA,NA,NA,NA
143,2005.0,qmirex1,2.0,NA,NA,NA,NA
144,2005.0,qmirex2,2.0,NA,NA,NA,NA
145,2005.0,qmirex3,2.0,NA,NA,NA,NA
146,2005.0,qmirex4,2.0,NA,NA,NA,NA
147,2005.0,THUENT0501,2.0,NA,NA,NA,NA
148,2005.0,THUENT0502,2.0,NA,NA,NA,NA
149,2005.0,THUENT0503,2.0,NA,NA,NA,NA
150,2005.0,THUENT0504,2.0,NA,NA,NA,NA
151,2005.0,THUENT0505,2.0,NA,NA,NA,NA
152,2005.0,uams05run0,2.0,100,10,3,0.47619047619047616
153,2005.0,uams05run0,2.0,100,20,3,0.19607843137254902
154,2005.0,uams05run0,2.0,100,40,4,0.3194444444444444
155,2005.0,uams05run0,2.0,100,80,7,0.3424657534246575
156,2005.0,uams05run0,2.0,100,100,12,0.5227272727272727
157,2005.0,uams05run1,2.0,100,10,3,0.47619047619047616
158,2005.0,uams05run1,2.0,100,20,4,0.28125
159,2005.0,uams05run1,2.0,100,40,4,0.125
160,2005.0,uams05run1,2.0,100,80,7,0.33268101761252444
161,2005.0,uams05run1,2.0,100,100,12,0.5255681818181818
162,2005.0,uams05run2,2.0,100,10,4,0.20833333333333334
163,2005.0,uams05run2,2.0,100,20,4,0.078125
164,2005.0,uams05run2,2.0,100,40,7,0.15151515151515152
