CSRankingOtherAreas,College Name,Average Count,Facult,Program ID,Program Name,Program Website,Control,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006",Average Citations per Publication,"Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,Collects Data About Post-Graduation Employment (1=Yes; -1=No),"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Is Student Work Space Provided? (1=Yes; -1=No),Is Health Insurance Provided? (1=Yes; -1=No),Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings,Count of Student Activities
11,Columbia University,11.4,12,20057554,Computer Science,http://www.cs.columbia.edu/,Private,1,3,26,59,9,39,7,43,43,100,29,64,2.74,N/D,0.75829,1.168,1,0.34444,5.5,0.455,-1,0,0.10526,0.17857,0.19608,0.58824,10.4,0,788.197,0.22222,1,1,13,36,35.95999908,0.22,0.61,36,102,22.2,0.588235294,0.137254902,0.222,0,0,0,3,1,1,4,4,3,2,4,4,3,3,3,3,3,4,2,3,2,13
12,Cornell University,10.9,13,20015693,Computer Science,http://www.cs.cornell.edu/degreeprogs/grad/,Private,1,4,5,17,5,27,5,36,4,35,78,115,1.967,N/D,0.82898,2.5292,1,0.57127,6,0.473,1,0,0.125,0,0.14394,0.64567,11.6,0.05882,800,0,1,1,17,51,36.73099136,0.27,0.61,48,132,24.8,0.560606061,0.151515152,0.409,0,0.455,0,3,1,1,1,1,3,3,2,4,3,1,1,1,1,3,2,1,3,17
13,University of Southern California,6.8,18,20068093,Computer Science,http://www.cs.usc.edu/,Private,5,4,8,30,11,51,9,59,12,62,28,67,2.665,N/D,0.86146,0.1053,1,0.26929,4.9,0.463,1,0.02309,0.15942,0.0625,0.19231,0.71556,22.4,0.01429,792.951,0,-1,1,16,70,64.59999847,0.33,0.4,69,234,55.6,0.637614679,0.178899083,0.162,0,0,0.378,3,3,1,1,4,1,4,3,3,3,3,3,3,3,3,3,1,1,16
14,Harvard University,6.7,12,20065986,DEAS-Computer Sciences,http://www.deas.harvard.edu,Private,1,2,10,35,4,28,3,20,16,80,110,124,2.615,N/D,0.92991,2.0486,1,0.32571,6,0.391,1,0,0.125,0,0.16667,0.38333,4.8,0.17949,793.704,0.16667,-1,1,16,39,22.26531792,0.1,N/D,32,60,11.4,0.205128205,0,0.167,0.167,0.667,0,3,1,3,1,4,3,3,1,4,3,3,3,1,1,1,3,3,3,16
15,University of North Carolina--Chapel Hill,6.4,12,20045207,Computer Science,http://www.cs.unc.edu/,Public,3,4,5,17,7,43,6,43,19,82,102,119,1.833,N/D,0.90508,1.8031,1,0.1915,6.5,0.5,1,0.03846,0.15385,0.04615,0.11765,0.44538,12.2,0.22857,794.342,0,1,1,18,35,26.82089043,0.06,0.8,27,119,27.2,0.737288136,0.076271186,0.03,0,0,0,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,18
16,Dartmouth College,6.1,9,20048233,Computer Sciences,http://www.cs.dartmouth.edu,Private,1,2,49,92,9,43,29,88,6,48,51,101,1.807,N/D,0.77221,0.1286,1,0.22342,5.75,0.667,1,0,0.06667,0,0.19149,0.7234,5.6,0.25,793.846,0.8,1,1,17,20,15.55333328,0.3,0.65,15,47,9.2,0,0,0.2,0.7,0,0,3,3,3,3,3,3,3,3,1,1,1,4,3,3,3,3,1,3,17
16,University of Maryland--College Park,6.1,15,20050140,Computer Science,http://www.cs.umd.edu/,Public,3,4,7,25,7,44,6,52,17,74,47,90,2.426,N/D,0.99564,0.241,1,0.28684,6.3,0.434,1,0,0.15,0.07692,0.17411,0.61161,21.8,0.22078,791.237,0,1,1,16,77,56.09049606,0.19,0.7,60,224,40.8,0.492822967,0.320574163,0.059,0,0.118,0,3,3,3,1,4,3,4,1,1,3,1,3,1,3,3,2,1,3,16
18,University of Michigan,5.4,14,20035356,Computer Science and Engineering,http://www.eecs.umich.edu/cse,Public,2,4,8,27,12,49,10,53,67,104,51,92,2.852,N/D,0.81601,0.1952,0.76744,0.26391,6.3,0.37,1,0,0.07317,0.09302,0.23256,0.48256,17.4,0.36923,800,0.02632,1,1,18,65,38.11505508,0.14,0.83,41,172,41.2,0.5,0.135802469,0.658,0,0,0,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,2,3,3,18
19,University of Colorado--Boulder,5,19,20063933,Computer Science,http://www.cs.colorado.edu/,Public,5,3,47,84,51,97,27,85,38,93,59,98,1.329,N/D,0.92134,0.2646,0.75,0.41236,5.3196,0.367,1,0.05263,0.18605,0.07143,0.23256,0.26744,8.4,0.10417,761.111,0,-1,1,15,48,40.15499878,0.25,0.54,43,86,19.8,0.481481481,0.074074074,0.063,0,0.375,0,3,1,1,4,4,3,3,2,4,3,1,1,3,1,3,3,3,3,15
20,University of Massachusetts--Amherst,4.2,11,20047904,Computer Science,http://www.cs.umass.edu/,Public,1,4,9,36,9,50,8,58,12,69,69,108,2.285,N/D,0.94833,0.3241,1,0.18294,6,0.583,1,0,0.11628,0.03614,0.22152,0.44304,16,0.21429,796,0,1,1,16,56,45.54016876,0.14,0.68,44,158,32.2,0.64137931,0.075862069,0,0,0.032,0.258,3,3,1,4,4,3,3,2,3,3,3,3,1,3,3,2,3,3,16
