USRankPL,College Name,LocationCity,State,Category Name,USnewsTotalRank,School type,Religious affiliation,Setting,Selectivity,Total undergraduate enrollment,Costs,Room and board,Student-faculty ratio,Total faculty full time,Total faculty part time,Classes with fewer than 20 students percentage,Classes with 50 or more students percentage,6-year graduation rate percentage,Average percent of need met,Received need-based scholarship or grant aid percent,Received need-based self-help aid percent,Average financial aid package dollar,Average need-based scholarship or grant award (undergraduates)dollar,"Average need-based loan (excluding PLUS, unsubsidized, or other private loans) dollar",Fall 2014 acceptance rate percent,Applicants,Average high school GPA,SAT/ACT 25th-75th percentile,Average freshman retention rate percent,Average alumni giving rate percent,Degree-seeking women percent,Degree-seeking men percent,Diversity index,In sorority percent,In fraternity percent,Students who live off-campus percent
11,Harvard University,Cambridge,MA,National Universis,2,private,N/A,urban,most selective,"6,694","2015-2016 Tuition and Fees: 45,278","15,381 (2015-16)",7:01,1741,271,74,10,98,100,59,50,"47,475","44,430","4,462",6,"34,295",4,1410-1600,97,35,47,53,0.66,N/A,N/A,N/A
11,Rice University,Houston,TX,National Universis,18,private,N/A,urban,most selective,"3,926","2015-2016 Tuition and Fees: 42,253","13,650 (2015-16)",6:01,641,208,67,8,93,100,39,30,"39,201","34,954","3,593",15.1,"17,728",N/A,1390-1550,97,30.2,48,52,0.69,0,0,30
13,Georgia Institute of Technology,Atlanta,GA,National Universis,36,public,N/A,urban,most selective,"14,682","2015-2016 In-state tuition and fees: 12,204; Out-of-state tuition and fees: 32,396","13,194 (2015-16)",19:01,1054,99,39,25,82,58,35,27,"11,415","9,395","3,983",33.4,"25,884",3.9,1310-1490,96,25.9,34,66,0.57,30,23,46
13,Northeastern University,Boston,MA,National Universis,47,private,N/A,urban,most selective,"13,510","2015-2016 Tuition and Fees: 45,530","15,000 (2015-16)",14:01,1207,433,64,8,82,81,36,33,"26,669","22,445","4,880",32.2,"49,819",N/A,1340-1500,96,11.7,51,49,0.5,N/A,N/A,N/A
13,University of Maryland--College Park,College Park,MD,National Universis,57,public,N/A,suburban,more selective,"27,056","2015-2016 In-state tuition and fees: 9,996; Out-of-state tuition and fees: 31,144","10,972 (2015-16)",17:01,1756,686,45,16,85,76,34,39,"13,667","9,213","6,182",47.8,"26,268",4,1210-1420,95,7.4,46,54,0.63,14,13,56
13,University of Washington,Seattle,WA,National Universis,52,public,N/A,urban,more selective,"30,672","2014-2015 In-state tuition and fees: 12,394; Out-of-state tuition and fees: 33,513","10,833 (2014-15)",11:01,3307,1211,35,22,84,N/A,N/A,N/A,N/A,N/A,N/A,55.2,"31,611",3.8,1110-1350,93,13.2,52,48,0.64,15,16,76
17,Columbia University,New York,NY,National Universis,4,private,N/A,urban,most selective,"6,170","2014-2015 Tuition and Fees: 51,008","12,432 (2014-15)",6:01,1446,221,82,9,96,100,48,41,"46,516","44,887","3,919",7,"32,967",N/A,1390-1570,99,33.6,48,52,N/A,9,19,6
17,Purdue University--West Lafayette,West Lafayette,IN,National Universis,61,public,N/A,city,more selective,"29,255","2015-2016 In-state tuition and fees: 10,002; Out-of-state tuition and fees: 28,804","10,030 (2015-16)",13:01,2185,308,39,18,74,85,30,37,"13,076","11,744","4,543",59.2,"39,706",3.7,1080-1330,92,19.2,43,57,0.33,20,17,63
17,University of California--Los Angeles,Los Angeles,CA,National Universis,23,public,N/A,urban,most selective,"29,633","2015-2016 In-state tuition and fees: 12,753; Out-of-state tuition and fees: 35,631","14,903 (2015-16)",17:01,1931,611,51,22,91,83,54,34,"22,405","18,806","6,771",18.6,"86,548",4,1190-1460,97,11.2,56,44,0.72,15,15,57
20,Indiana University--Bloomington,Bloomington,IN,National Universis,75,public,N/A,city,more selective,"36,419","2015-2016 In-state tuition and fees: 10,388; Out-of-state tuition and fees: 33,741","9,795 (2015-16)",17:01,2047,357,36,18,78,64,34,26,"12,352","10,558","4,240",76.1,"36,362",3.6,1060-1290,89,13.1,50,50,0.34,18,22,63
