H-index,Name,Organization,Gender,Award and Membership
108,Michael I. Jordan,Berkeley,Male,ACM Fellow| IEEE Fellow| AAAS Fellow| AAAI Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| Member of the American Academy of Arts & Sciences| SIAM Fellow 
107,David Culler,Berkeley,Male,ACM Fellow| Member of the National Academy of Engineering 
107,Didier Dubois,CNRS Toulouse,Male,NA
107,Nick Jennings,Imperial College| London,Male,IEEE Fellow| Fellow of the Royal Academy of Engineering| Member of Academy of Europe (Academia Europaea) 
107,Henri Prade,CNRS Toulouse,Male,NA
106,Daphne Koller,Stanford,Female,MacArthur Fellow| AAAI Fellow| Member of the National Academy of Engineering| ACM Infosys Foundation Award 
106,Andrew Zisserman,University of Oxford,Male,Fellow of the Royal Society 
105,Rajkumar Buyya,University of Melbourne| Australia,Male,IEEE Fellow| IEEE Medal for Excellence in Scalable Computing 
105,Bernhard Scholkopf,Max Planck,Male,NA
105,HongJiang Zhang,KingSoft| China,Male,ACM Fellow| IEEE Fellow| ACM SIGMM Technical Achievement Award| IEEE Technical Achievement Award 
104,Christos H. Papadimitriou,Berkeley,Male,ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| Member of Academy of Europe (Academia Europaea)| Member of the American Academy of Arts & Sciences 
104,Alex Pentland,MIT,Male,Member of the National Academy of Engineering 
102,Vipin Kumar,U Minnesota,Male,ACM Fellow| IEEE Fellow| IEEE Technical Achievement Award 
101,Francisco Herrera,U Granada| Spain,Male,ECCAI Fellow| IFSA Fellow 
101,Stanley Osher,UCLA,Male,Member of the National Academy of Sciences| SIAM Fellow 
100,Mario Gerla,UCLA,Male,IEEE Fellow 
100,Georgios Giannakis,U Minnesota,Male,IEEE Fellow 
100,John A. Stankovic,U Virginia,Male,ACM Fellow 
99,Gene H. Golub,Stanford,Male,NA
95,Shree Nayar,Columbia,Male,Member of the National Academy of Engineering| Member of the American Academy of Arts and Sciences 
94,Martin Vetterli,EPFL,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
93,Mihir Bellare,UCSD,Male,ACM Fellow| IACR Fellow 
93,Sushil Jajodia,George Mason U,Male,IEEE Fellow| IEEE Technical Achievement Award 
92,Richard Karp,Berkeley,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| SIAM Fellow| Member of the American Academy of Arts & Sciences 
92,Alex Szalay,Johns Hopkins U,Male,NA
92,Lotfi Zadeh,Berkeley,Male,ACM Fellow| IEEE Fellow 
91,Rakesh Agrawal,Data Insights Laboratory,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
91,Hsinchun Chen,U Arizona,Male,ACM Fellow| IEEE Fellow| AAAS Fellow| IEEE Technical Achievement Award 
90,Kalyanmoy Deb,Michigan State U,Male,IEEE Fellow| ASME Fellow 
90,Amit Sheth,Wright State U,Male,IEEE Fellow 
89,Jitendra Malik,Berkeley,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| Member of the American Academy of Arts and Sciences 
89,Jeffrey D. Ullman,Stanford,Male,ACM Fellow| Member of the National Academy of Engineering 
88,Luc Van Gool,ETH Zurich,Male,NA
87,Hari Balakrishnan,MIT,Male,ACM Fellow 
86,Thomas A. Henzinger,IST Austria,Male,ACM Fellow| Member of Academy of Europe (Academia Europaea)| AAAS Fellow 
86,Randy H. Katz,Berkeley,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
86,Alberto Sangiovanni-Vincentelli,Berkeley,Male,ACM Fellow| Member of the National Academy of Engineering 
86,Moshe Y. Vardi,Rice U,Male,ACM Fellow| Member of the National Academy of Engineering| Member of Academy of Europe (Academia Europaea) 
85,Ian F. Akyildiz,Georgia Tech,Male,ACM Fellow| IEEE Fellow 
85,Don Norman,UCSD,Male,NA
84,John Doyle,Cal Tech,Male,NA
84,Olivier Faugeras,INRIA,Male,Member of the French Academy of Sciences 
84,Tim Finin,UMBC,Male,AAAI Fellow| IEEE Technical Achievement Award 
84,David E. Goldberg,UIUC,Male,NA
84,Jakob Nielsen,Nielsen Norman Group,Male,NA
