H-index,Name,Organization,Gender,Award and Membership
55,Edward A. Fox,Virginia Tech,Male,NA
55,Tao Jiang,UC Riverside,Male,ACM Fellow| AAAS Fellow 
55,David Kotz,Dartmouth,Male,NA
55,Jeff Kramer,Imperial College| London,Male,ACM Fellow 
55,Ravi Kumar,Google,Male,NA
55,H. T. Kung,Harvard,Male,Member of the National Academy of Engineering 
55,Sharad Malik,Princeton,Male,ACM Fellow 
55,B. S. Manjunath,UC Santa Barbara,Male,IEEE Fellow 
55,David Peleg,Weizmann,Male,NA
55,Riccardo Poli,U Essex,Male,NA
55,Calton Pu,Georgia Tech,Male,NA
55,Maarten de Rijke,U Amsterdam,Male,NA
55,Philip Rogaway,UC Davis,Male,IACR Fellow 
55,Yvonne Rogers,U College London,Male,NA
55,Alejandro Schaffer,National Institutes of Health,Male,NA
55,Joseph Sifakis,EPFL,Male,Turing Award| ACM Fellow| Member of Academy of Europe (Academia Europaea)| Member of the French Academy of Sciences 
55,Nigel Shadbolt,U Southampton,Male,NA
55,Salvatore Stolfo,Columbia,Male,NA
55,Milind Tambe,USC,Male,ACM Fellow| AAAI Fellow 
55,Vladimir Vapnik,Royal Holloway| U London,Male,ember of the National Academy of Engineering| IEEE Frank Rosenblatt Award 
55,Carlo Zaniolo,UCLA,Male,NA
54,Chandrajit Bajaj,UT Austin,Male,ACM Fellow 
54,David Blaauw,U Michigan,Male,NA
54,Ran Canetti,Tel Aviv U,Male,NA
54,John Canny,Berkeley,Male,NA
54,Imrich Chlamtac,U Trento,Male,NA
54,Ahmed Elmagarmid,Purdue U and Qatar Computing Research Inst,Male,ACM Fellow 
54,David Heckerman,Microsoft and UCLA,Male,ACM Fellow 
54,Kurt Keutzer,Berkeley,Male,IEEE Fellow 
54,Xiang-Yang Li,Illinois Institute of Tech,Male,IEEE Fellow 
54,Fernando C. N. Pereira,U Penn,Male,NA
54,Amir Pnueli,Weizmann and New York University,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering 
54,Marc Pollefeys,ETH Zurich,Male,IEEE Fellow 
54,Mary Beth Rosson,Penn State U,Male,NA
54,Abraham Silberschatz,Yale,Male,ACM Fellow| IEEE Fellow 
54,Barry Smyth,U College Dublin,Male,NA
54,Andreas Stolcke,Microsoft,Male,NA
53,Ajith Abraham,MIR Labs,Male,NA
53,Pankaj K. Agarwal,Duke U,Male,ACM Fellow 
53,Divyakant Agrawal,UC Santa Barbara,Male,ACM Fellow 
53,Shun-ichi Amari,Riken,Male,NA
53,David Cheriton,Stanford,Male,NA
53,Mark Crovella,Boston University,Male,ACM Fellow 
53,Dipankar Dasgupta,U Memphis,Male,IEEE Fellow 
53,Sally Floyd,ICSI,Female,ACM Fellow 
53,Giuseppe De Giacomo,Sapienza U di Roma,Male,NA
53,Georg Gottlob,University of Oxford,Male,ACM Fellow| Fellow of the Royal Society| Member of Academy of Europe (Academia Europaea) 
53,Rajiv Gupta,UC Riverside,Male,ACM Fellow| IEEE Fellow| AAAS Fellow 
53,Frank van Harmelen,Vrije U| The Netherlands,Male,NA
53,John Heidemann,USC/ISI,Male,NA
53,Craig Knoblock,USC,Male,NA
53,Marta Kwiatkowska,U Oxford,Male,Member of Academia Europea 
53,Laks V.S. Lakshmanan,U British Columbia,Male,NA
53,James Larus,EPFL,Male,ACM Fellow 
53,Der-Tsai Lee,National Chung Hsing University,Male,ACM Fellow| IEEE Fellow| Member of TWAS 
53,Michael L. Littman,Rutgers,Male,NA
53,Zbigniew Michalewicz,U Adelaide,Male,NA
53,Michael Mitzenmacher,Harvard,Male,ACM Fellow 
53,Michael Pazzani,Rutgers,Male,NA
53,Rosalind Picard,MIT,Male,NA
53,Manfred Reichert,Ulm U,Male,NA
53,Amit Sahai,UCLA,Male,NA
53,John R. Smith,IBM Research,Male,NA
53,Majid Sarrafzadeh,UCLA,Male,IEEE Fellow 
53,Divesh Srivastava,AT&T Labs,Male,ACM Fellow 
53,Gaurav Sukhatme,USC,Male,NA
53,Subhash Suri,UC Santa Barbara,Male,ACM Fellow 
53,Enrique Herrera Viedma,U Granada,Male,NA
53,Michael P. Wellman,U Michigan,Male,ACM Fellow 
53,Gio Wiederhold,Stanford,Male,ACM Fellow 
53,Yuanyuan Zhou,UCSD,Female,ACM Fellow 
52,James F. Allen,U Rochester,Male,NA
52,Eitan Altman,INRIA,Male,IEEE Fellow 
52,Serge Belongie,Cornell Tech in NYC and UCSD,Male,NA
52,Roberto Cipolla,U Cambridge,Male,NA
52,Carlos A. C. Coello,CINVESTAV-IPN| Mexico,Male,IEEE Fellow| IEEE Kiyo Tomiyasu Award 
52,William W. Cohen,CMU,Male,NA
52,Erik Demaine,MIT,Male,NA
52,Thomas Dietterich,Oregon State U,Male,ACM Fellow 
52,Danny Dolev,Hebrew U,Male,ACM Fellow 
52,Thomas Eiter,TU Vienna,Male,NA
52,Johannes Gehrke,Cornell,Male,ACM Fellow| IEEE Technical Achievement Award 
52,Phillip Gibbons,Intel,Male,ACM Fellow 
52,Donald Greenberg,Cornell U,Male,NA
52,Jonathan Grudin,Microsoft,Male,NA
52,Charles E. Leiserson,MIT,Male,ACM Fellow| AAAS Fellow 
52,Jure Leskovec,Stanford,Male,NA
52,Marc Levoy,Stanford,Male,NA
52,Theo Pavlidis,SUNY Stony Brook,Male,IEEE Fellow 
52,Wayne Luk,Imperial College London,Male,NA
52,Peter Patel-Schneider,Nuance Communications,Male,NA
52,Gordon Plotkin,U Edinburgh,Male,Member of Academy of Europe (Academia Europaea) 
52,Jan M. Rabaey,Berkeley,Male,NA
52,John Riedl,U Minnesota,Male,ACM Fellow 
52,Keith Ross,Polytechnic Institute of NYU,Male,ACM Fellow| IEEE Fellow 
52,Dan Roth,UIUC,Male,ACM Fellow| AAAI Fellow| ACL Fellow 
52,Pierangela Samarati,U Milano,Female,NA
52,Vivek Sarkar,Rice U,Male,ACM Fellow 
52,Bernhard Steffen,TU Dortmund,Male,NA
52,Qian Zhang,Hong Kong U of Sci and Tech,Male,IEEE Fellow 
51,Gul Agha,UIUC,Male,NA
51,Dharma P. Agrawal,U Cincinnati,Male,ACM Fellow| IEEE Fellow 
51,Baruch Awerbuch,Johns Hopkins U,Male,NA
51,Joachim Buhmann,ETH Zurich,Male,NA
51,Kevin Bowyer,U Notre Dame,Male,IEEE Fellow 
51,Peter Brusilovsky,U Pittsburgh and CMU,Male,NA
51,Brad Calder,Microsoft,Male,NA
51,Diego Calvanese,Free University of Bozen-Bolzano,Male,NA
51,Fabio Casati,U Trento,Male,NA
51,Dorin Comaniciu,Siemens,Male,IEEE Fellow 
51,Peter Denning,Naval Postgraduate School,Male,ACM Fellow| IEEE Fellow| AAAS Fellow| past ACM President 
50,Stephane Ducasse,INRIA,Male,NA
51,Michael Fellows,Charles Darwin U,Male,NA
51,Stephanie Forrest,U New Mexico,Female,NA
51,Zoubin Ghahramani,U Cambridge / CMU,Male,NA
51,Ron Graham,UCSD,Male,ACM Fellow| Member of the National Academy of Sciences 
51,Rachid Guerraoui,EPFL,Male,ACM Fellow 
51,Joseph M. Hellerstein,Berkeley,Male,ACM Fellow 
51,Piotr Indyk,MIT,Male,NA
51,Norman Jouppi,HP Labs,Male,ACM Fellow 
51,Kevin Knight,USC,Male,NA
51,Steven Low,Cal Tech,Male,NA
51,Wei-Ying Ma,Microsoft,Male,NA
51,Christopher Manning,Stanford,Male,ACM Fellow 
51,Ueli Maurer,ETH Zurich,Male,IEEE Fellow| IACR Fellow| Member of the German Academy of Sciences 
51,Thomas P. Moran,IBM,Male,ACM Fellow 
51,Vijaykrishnan Narayanan,Penn State,Male,ACM Fellow 
51,Badri Nath [B R Badrinath],Rutgers,Male,NA
51,Lionel M. Ni,Hong Kong U of Sci and Tech,Male,IEEE Fellow 
51,Venkata N. Padmanabhan,Microsoft Research,Male,IEEE Fellow| Member of the Indian National Academy of Engineering 
51,Jordan Pollack,Brandeis,Male,NA
51,Gunnar Ratsch,Memorial Sloan-Kettering Cancer Center,Male,NA
51,Arnold W.M. Smeulders,U Amsterdam,Male,Member of Academy of Europe (Academia Europaea)| IAPR Fellow 
51,Dawn Song,Berkeley,Male,MacArthur Fellow 
51,Robert Stevens,U Manchester,Male,NA
51,Roberto Tamassia,Brown U,Male,ACM Fellow| IEEE Technical Achievement Award 
51,Wei Wang,UCLA,Male,NA
51,Joachim Weickert,Saarland University,Male,Member of Academy of Europe (Academia Europaea) 
51,Gerhard Woeginger,TU Eindhoven,Male,NA
50,Vineet Bafna,UCSD,Male,NA
50,Ben Bederson,U Maryland,Male,NA
50,Steve Benford,U Nottingham,Male,NA
50,Philip A. Bernstein,Microsoft,Male,ACM Fellow| Member of the National Academy of Engineering 
50,Brian Bershad,U Washington,Male,NA
50,Aaron Bobick,Georgia Tech,Male,NA
50,Boualem Benatallah,U New South Wales,Male,NA
50,Lionel Briand,Carleton U,Male,IEEE Harlan D. Mills Award 
50,Surajit Chaudhuri,Microsoft,Male,ACM Fellow 
50,Philip R Cohen,VoiceBox,Male,AAAI Fellow| 
50,Mathieu Desbrun,Caltech,Male,NA
50,Garth Gibson,CMU,Male,ACM Fellow 
50,Andrew Gordon,Microsoft,Male,NA
50,W. Eric L. Grimson,MIT,Male,ACM Fellow 
50,Jessica Hodgins,CMU,Male,NA
50,Sitharama S. Iyengar,Florida International U,Male,ACM Fellow| IEEE Fellow| AAAS Fellow| Member of the European Academy of Sciences 
50,Michal Irani,Weizmann,Male,NA
50,Van Jacobson,PARC,Male,Member of the National Academy of Engineering 
50,Raj Jain,Washington U,Male,ACM Fellow| IEEE Fellow 
50,Joost-Pieter Katoen,RWTH Aachen U,Male,Member of Academy of Europe (Academia Europaea) 
50,Jeff Kephart,IBM Research,Male,IEEE Fellow 
50,Edward Knightly,Rice U,Male,IEEE Fellow 
50,Hugo Krawczyk,IBM,Male,IACR Fellow 
50,Yann LeCun,NYU,Male,NA
50,Chih-Jen Lin,National Taiwan U,Male,ACM Fellow 
50,David Maier,Portland State U,Male,ACM Fellow 
50,Ralph Martin,Cardiff U,Male,Fellow of the British Computer Society| Fellow of the Learned Society of Wales 
50,Yishay Mansour,Tel Aviv U,Male,ACM Fellow 
50,Dimitris Metaxas,Rutgers,Male,NA
50,Joseph S. B. Mitchell,SUNY Stony Brook,Male,ACM Fellow 
50,Trevor Mudge,U Michigan,Male,IEEE Fellow| ACM-IEEE CS Eckert-Mauchly Award 
50,Richard Muntz,UCLA,Male,ACM Fellow| IEEE Fellow 
50,S. Muthukrishnan,Rutgers,Male,ACM Fellow 
50,Frank Pfenning,CMU,Male,NA
50,Benjamin Pierce,U Penn,Male,ACM Fellow 
50,Joel Saltz,Emory University,Male,American Medical Informatics Association Fellow 
50,Shashi Shekhar,U Minnesota,Male,IEEE Fellow| AAAS Fellow| IEEE Technical Achievement Award 
50,Kevin Skadron,U Virginia,Male,IEEE Fellow 
50,Alan Smeaton,Dublin City U,Male,Member of the Royal Irish Academy 
50,Sargur Srihari,SUNY Buffalo,Male,IEEE Fellow| IAPR Fellow 
50,Mark Steedman,U Edinburgh,Male,NA
50,Douglas Stinson,U Waterloo,Male,NA
50,Eva Tardos,Cornell,Female,ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| IEEE Technical Achievement Award| SIAM Fellow| Member of the American Academy of Arts & Sciences 
50,Salil Vadhan,Harvard U,Male,NA
50,Pascal Van Hentenryck,ANU and NICTA,Male,NA
50,Michael N. Vrahatis,U Patras,Male,NA
50,Michael Waidner,TU Darmstadt,Male,NA
50,Darrell Whitley,Colorado State University,Male,NA
50,Steve Whittaker,UC Santa Cruz,Male,ACM Fellow 
49,Michael Backes,Saarland U,Male,NA
49,Andrew Barto,U Mass| Amherst,Male,IEEE Fellow| AAAS Fellow 
49,Bir Bhanu,UC Riverside,Male,IEEE Fellow| AAAS Fellow| IAPR Fellow| SPIE Fellow| AIMBE Fellow 
49,Craig Boutilier,U Toronto,Male,ACM Fellow 
49,Andrew A. Chien,U. Chicago,Male,ACM Fellow| IEEE Fellow| AAAS Fellow 
49,Kenneth Church,IBM,Male,NA
49,Adnan Darwiche,UCLA,Male,AAAI Fellow 
49,David J. DeWitt,U Wisconsin,Male,ACM Fellow| Member of the National Academy of Engineering 
49,Bruce R. Donald,Duke U,Male,ACM Fellow| IEEE Fellow 
49,Paul Dourish,UC Irvine,Male,NA
49,David Eppstein,UC Irvine,Male,ACM Fellow 
49,Matthias Felleisen,Northeastern U,Male,ACM Fellow 
49,Steven Feiner,Columbia,Male,NA
49,Carlos Guestrin,U Washington,Male,NA
49,Leonidas J. Guibas,Stanford,Male,ACM Fellow 
49,Tian He,U Minnesota,Male,NA
49,Holger Hoos,U British Columbia,Male,NA
49,Hugues Hoppe,Microsoft,Male,ACM Fellow 
49,Tomasz Imielinski,Rutgers,Male,NA
49,Mark Johnson,Macquarie U,Male,NA
49,Ron Kimmel,Technion,Male,NA
49,Hans-Peter Kriegel,Ludwig-Maximilians U| Munich,Male,ACM Fellow 
49,Marwan Krunz,U Arizona,Male,IEEE Fellow 
49,Benjamin Kuipers,U Michigan,Male,NA
49,Hector Levesque,U Toronto,Male,FRSC 
49,Michael Luby,ICSI,Male,NA
49,Kurt Mehlhorn,Max Planck,Male,ACM Fellow 
49,Robert Morris,MIT,Male,ACM Fellow 
49,Moni Naor,Weizmann,Male,IACR Fellow 
49,Jeffrey F. Naughton,U Wisconsin,Male,ACM Fellow 
49,Norman Paton,U Manchester,Male,NA
49,Bart Preneel,KU Leuven,Male,NA
49,Kannan Ramchandran,Berkeley,Male,NA
49,Rajesh Rao,U Washington,Male,NA
49,Andre Schiper,EPFL,Male,NA
49,Timos Sellis,RMIT| Australia,Male,NA
49,Bart Selman,Cornell,Male,ACM Fellow 
49,Daniel Siewiorek,CMU,Male,ACM Fellow| Member of the National Academy of Engineering 
49,John Stasko,Georgia Tech,Male,NA
49,Michael Stonebraker,MIT,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering 
49,V. S. Subrahmanian,U Maryland,Male,NA
49,Richard S. Sutton,U Alberta,Male,NA
49,Gerhard Weikum,Max Planck,Male,ACM Fellow| Member of Academy of Europe (Academia Europaea) 
49,David Wetherall,U Washington,Male,ACM Fellow 
49,David A. Wood,U Wisconsin,Male,ACM Fellow| IEEE Fellow 
49,Ming-Hsuan Yang,UC Merced,Male,NA
49,Justin Zobel,U Melbourne,Male,NA
48,James Allan,U Mass| Amherst,Male,NA
48,Andrew Appel,Princeton,Male,ACM Fellow 
48,Franz Baader,TU Dresden,Male,Member of Academy of Europe (Academia Europaea) 
48,Dana Ballard,UT Austin,Male,NA
48,Jan Bergstra,U Amsterdam,Male,Member of Academy of Europe (Academia Europaea) 
48,Randal Bryant,CMU,Male,ACM Fellow 
48,Peter Buneman,U Edinburgh,Male,ACM Fellow| Fellow of the Royal Society 
48,Vince Calhoun,U New Mexico,Male,NA
48,Michael J. Carey,UC Irvine,Male,ACM Fellow| Member of the National Academy of Engineering 
48,Umeshwar Dayal,HP Labs,Male,ACM Fellow 
48,Russell Impagliazzo,UCSD,Male,NA
48,Joshua Knowles,U Manchester,Male,NA
48,Simon S. Lam,UT Austin,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
48,James Landay,U Washington,Male,NA
48,Jerome Lang,CRNS,Male,NA
48,Tomas Lozano-Perez,MIT,Male,NA
48,Deborah L. McGuinness,RPI,Female,AAAS Fellow 
48,Samuel Madden,MIT,Male,NA
48,Kathleen McKeown,Columbia,Male,ACM Fellow 
48,Kathryn McKinley,Microsoft,Female,ACM Fellow| IEEE Fellow 
48,Bertrand Meyer,ETH Zurich,Male,ACM Fellow| ACM Software System Award| Member of Academy of Europe (Academia Europaea)| IEEE Harlan D. Mills Award 
48,Gonzalo Navarro,U Chile,Male,NA
48,Stefano Nolfi,National Research Council| Rome,Male,NA
48,Yannis Papakonstantinou,UCSD,Male,NA
48,David Parnas,U Limerick,Male,ACM Fellow| IEEE Harlan D. Mills Award 
48,Jean-Jacques Quisquater,U Catholique de Louvain,Male,IACR Fellow 
48,Ulrike Sattler,U Manchester,Male,NA
48,Mahadev Satyanarayanan,CMU,Male,ACM Fellow| IEEE Fellow 
48,Bernt Schiele,Max Planck,Male,NA
48,Steven Seitz,U Washington,Male,NA
48,Yoram Singer,Google,Male,NA
48,Satinder Singh,U Michigan,Male,NA
48,Richard Snodgrass,U Arizona,Male,ACM Fellow 
48,Jaideep Srivastava,Qatar Computing Research Institute,Male,NA
48,Maarten van Steen,U Twente,Male,NA
48,Peter Steenkiste,CMU,Male,NA
48,Peter Stone,UT Austin,Male,NA
48,Alistair Sutcliffe,U Manchester,Male,NA
48,Andrew Tomkins,Google,Male,NA
48,Philip Torr,Oxford Brookes U,Male,NA
48,Dean Tullsen,UCSD,Male,ACM Fellow 
48,Ben Y. Zhao,UC Santa Barbara,Male,NA
48,Xiaohua Jia,City U of Hong Kong,Male,IEEE Fellow 
47,Wolfgang Banzhaf,Memorial U Newfoundland,Male,NA
47,Elizabeth Belding,UC Santa Barbara,Female,NA
47,Mark Billinghurst,U Canterbury| New Zealand,Male,NA
47,Horst Bischof,Graz U of Technology,Male,NA
47,Gaetano Borriello,U Washington,Male,ACM Fellow 
47,Robert K. Brayton,Berkeley,Male,NA
47,Justine Cassell,CMU,Male,NA
47,Rina Dechter,UC Irvine,Female,ACM Fellow 
47,Inderjit S. Dhillon,UT Austin,Male,ACM Fellow 
47,Dirk Grunwald,U Colorado,Male,NA
47,Carl Gutwin,U Saskatchewan,Male,NA
47,Greg Hager,Johns Hopkins U,Male,NA
47,Bernd Hamann,UC Davis,Male,NA
47,Mary Jean Harrold,Georgia Tech,Female,ACM Fellow 
47,Matthew Hennessy,U Sussex,Male,NA
47,Maurice Herlihy,Brown U,Male,ACM Fellow 
47,C.A.R. Tony Hoare,Microsoft,Male,Turing Award| Fellow of the Royal Society| Member of Academy of Europe (Academia Europaea) 
47,Mahmut Kandemir,Penn State,Male,NA
47,Leonard Kleinrock,UCLA,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
47,Rich Korf,UCLA,Male,AAAI Fellow 
47,Ramamohanarao Rao Kotagiri,U Melbourne,Male,NA
47,Jim Kurose,U Mass| Amherst,Male,ACM Fellow| IEEE Fellow 
47,Richard Lipton,Georgia Tech,Male,ACM Fellow| Member of the National Academy of Engineering 
47,Scott Mahlke,U Michigan,Male,NA
47,Nasir Memon,Polytechnic Institute of NYU,Male,IEEE Fellow 
47,Daniel Menasce,George Mason U,Male,ACM Fellow| IEEE Fellow 
47,Johanna Moore,U Edinburgh,Female,NA
47,Jeff Offutt,George Mason U,Male,NA
47,Dimitris Papadias,Hong Kong U of Sci and Tech,Male,NA
47,Yale Patt,UT Austin,Male,ACM Fellow| IEEE Fellow 
47,Yong Rui,Microsoft,Male,IEEE Fellow| IAPR Fellow| SPIE Fellow 
47,Albrecht Schmidt,U Stuttgart,Male,NA
47,Claudio Silva,NYU,Male,IEEE Fellow 
47,Mary Lou Soffa,U Virginia,Female,ACM Fellow 
47,P. N. Suganthan,Nanyang Tech U| Singapore,Male,NA
47,Toby Walsh,NICTA and UNSW,Male,NA
47,Chris Williams,U Edinburgh,Male,NA
47,Wang Yi,Uppsala U,Male,IEEE Fellow| Member of Academy of Europe (Academia Europaea) 
46,Henri Bal,Vrije U| Amsterdam,Male,NA
46,Thomas Ball,Microsoft,Male,ACM Fellow 
46,Christopher Bishop,Microsoft,Male,NA
46,Krishnendu Chakrabarty,Duke U,Male,ACM Fellow| IEEE Fellow 
46,Nick Duffield,AT&T Labs,Male,NA
46,Max J. Egenhofer,U Maine,Male,NA
46,Charles Elkan,UCSD,Male,NA
46,Wenfei Fan,U Edinburgh,Male,ACM Fellow 
46,Dror Feitelson,Hebrew U,Male,NA
46,Yoav Freund,UCSD,Male,AAAI Fellow 
46,Rosario Gennaro,City College of New York,Male,NA
46,Steve Gribble,U Washington,Male,NA
46,John Hopcroft,Cornell,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| SIAM Fellow| Member of the American Academy of Arts & Sciences 
46,Tom Hou,Virginia Tech,Male,IEEE Fellow 
46,Katsushi Ikeuchi,U Tokyo,Male,NA
46,Yannis Ioannidis,U Wisconsin,Male,ACM Fellow| Member of Academy of Europe (Academia Europaea) 
46,Niraj K. Jha,Princeton,Male,ACM Fellow| IEEE Fellow 
46,Eamonn Keogh,UC Riverside,Male,NA
46,Joe Kilian,Rutgers,Male,NA
46,Dexter Kozen,Cornell,Male,ACM Fellow 
46,Vladimir Lifschitz,UT Austin,Male,NA
46,Jimmy Lin,U Maryland,Male,NA
46,Patrick Lincoln,SRI,Male,NA
46,Andrew Lumsdaine,Indiana U,Male,NA
46,Margaret Martonosi,Princeton,Female,ACM Fellow 
46,Kenneth McMillan,Microsoft,Male,NA
46,Enrico Motta,The Open University| UK,Male,NA
46,Zoran Obradovic,Temple U,Male,NA
46,Shmuel Peleg,Hebrew U,Male,NA
46,Jean Ponce,ENS,Male,NA
46,Mooly Sagiv,Tel Aviv University,Male,NA
46,Mary Shaw,CMU,Female,ACM Fellow 
46,Arun Somani,Iowa State,Male,IEEE Fellow| AAAS Fellow 
46,Rudi Studer,Karlsruhe Inst Tech,Male,NA
46,Madhu Sudan,MIT,Male,ACM Fellow 
46,Chew Lim Tan,National U Singapore,Male,NA
46,Jose Luis Verdegay,U Granada| Spain,Male,IFSA Fellow 
46,Rene Vidal,Johns Hopkins U,Male,NA
46,Emo Welzl,ETH Zurich,Male,Member of Academy of Europe (Academia Europaea)| Member of the German Academy of Sciences 
46,Franco Zambonelli,U Modena e Reggio Emilia,Male,IEEE Fellow 
46,Matt Welsh,Google,Male,NA
46,Ouri Wolfson,U Illinois at Chicago,Male,ACM Fellow| IEEE Fellow| AAAS Fellow 
45,Andrei Broder,Google,Male,ACM Fellow| Member of the National Academy of Engineering 
45,Oscar Cordon,U Granada| Spain,Male,NA
45,Samir Das,SUNY Stony Brook,Male,NA
45,Michael Ernst,U Washington,Male,ACM Fellow 
45,Anja Feldmann,TU Berlin,Female,NA
45,Amos Fiat,Tel Aviv U,Male,NA
45,Patrick J. Flynn,U Notre Dame,Male,NA
45,Lise Getoor,UC Santa Cruz,Male,AAAI Fellow 
45,Holger Hermanns,Saarland U,Male,Member of Academy of Europe (Academia Europaea) 
45,M. Frans Kaashoek,MIT,Male,ACM Fellow| ACM Infosys Foundation Award| Member of the National Academy of Engineering 
45,Carl Kesselman,USC/ISI,Male,NA
45,Nikola Kasabov,Auckland U of Technology,Male,NA
45,Ross King,U Manchester,Male,NA
45,John Koza,Stanford,Male,NA
45,Arvind Krishnamurthy,U Washington,Male,NA
45,Rudolf Kruse,U Magdeburg,Male,IEEE Fellow 
45,Ed Lazowska,U Washington,Male,ACM Fellow| Member of the National Academy of Engineering 
45,Victor Lesser,U Mass| Amherst,Male,IEEE Fellow| AAAI Fellow 
45,Ming Li,U Waterloo,Male,ACM Fellow| IEEE Fellow 
45,Heikki Mannila,U Helsinki,Male,NA
45,Daniel Marcu,USC,Male,NA
45,Nenad Medvidovic,USC,Male,NA
45,Alberto O. Mendelzon,U Toronto,Male,NA
45,Dusit Niyato,Nanyang Technological U,Male,NA
45,John Ousterhout,Stanford,Male,ACM Fellow| Member of the National Academy of Engineering 
45,Bijan Parsia,U Manchester,Male,NA
45,Michel Raynal,IRISA,Male,NA
45,Hajo Reijers,Vrije U Amsterdam,Male,NA
45,Fred Schneider,Cornell,Male,ACM Fellow| Member of the National Academy of Engineering 
45,Dana Scott,CMU,Male,Turing Award| ACM Fellow| Member of Academy of Europe (Academia Europaea) 
45,Carles Sierra,Artificial Intelligence Research Institute| Spain,Male,NA
45,Eero P. Simoncelli,NYU,Male,IEEE Fellow 
45,Mukesh Singhal,UC Merced,Male,NA
45,Marc Snir,UIUC,Male,ACM Fellow| IEEE Fellow 
45,Richard Taylor,UC Irvine,Male,ACM Fellow 
45,Murat Tekalp,Koc University| Turkey,Male,IEEE Fellow| Member of Academy of Europe (Academia Europaea) 
45,Mikkel Thorup,AT&T Labs and U Copenhagen,Male,ACM Fellow| Member of the Royal Danish Academy of Sciences and Letters 
45,Victor Vianu,UCSD,Male,ACM Fellow 
45,Jun Wang,The Chinese U of Hong Kong,Male,IEEE Fellow 
45,Jarke J. van Wijk,TU Eindhoven,Male,NA
45,Niklaus Wirth,ETH Zurich,Male,Turing Award| ACM Fellow 
45,Mohammed Zaki,RPI,Male,NA
45,Steven Zucker,Yale,Male,NA
44,Victor Basili,U Maryland,Male,ACM Fellow| IEEE Harlan D. Mills Award 
44,Ernst Biersack,Eurecom| Sophia Antipolis| France,Male,NA
44,Kenneth Birman,Cornell,Male,ACM Fellow 
44,Terrance E. Boult,U Colorado at Colorado Springs,Male,NA
44,Andrew Brass,U Manchester,Male,NA
44,Carla Brodley,Tufts University,Female,AAAI Fellow 
44,Jan Camenisch,IBM Zurich,Male,IEEE Technical Achievement Award 
44,Balakrishnan Chandrasekaran,Ohio State,Male,ACM Fellow| IEEE Fellow| AAAI Fellow 
44,Brian Curless,U Washington,Male,NA
44,Marlon Dumas,U Tartu,Male,NA
44,E. Allen Emerson,UT Austin,Male,Turing Award 
44,Dick Epema,TU Delft,Male,NA
44,Christos Faloutsos,CMU,Male,ACM Fellow 
44,Babak Falsafi,EPFL,Male,NA
44,Jodi Forlizzi,CMU,Male,NA
44,Carlo Ghezzi,Politecnico di Milano,Male,ACM Fellow| IEEE Fellow| Member of Academy of Europe (Academia Europaea) 
44,Oded Goldreich,Weizmann,Male,IACR Fellow 
44,Shafi Goldwasser,MIT and Weizmann,Female,Turing Award| Member of the National Academy of Engineering| Member of the National Academy of Sciences| IACR Fellow| Member of the American Academy of Arts & Sciences 
44,Ahmed Helmy,U Florida,Male,NA
44,Manuel Hermenegildo,IMDEA and U Politecnica Madrid,Male,NA
44,Thomas Hofmann,Google,Male,NA
44,Markus Jakobsson,Paypal,Male,NA
44,Jean-Marc Jezequel,U Rennes and INRIA,Male,NA
44,Thorsten Joachims,Cornell,Male,ACM Fellow 
44,Lydia Kavraki,Rice U,Female,ACM Fellow| AAAI Fellow| Member of the Institute of Medicine 
44,Donald Kossmann,ETH Zurich,Male,ACM Fellow 
44,Tao Li,Florida International U,Male,NA
44,Gail Murphy,U British Columbia,Female,NA
44,Tobias Nipkow,TU Munich,Male,NA
44,Paul C. van Oorschot,Carleton U,Male,NA
44,M. Tamer Ozsu,U Waterloo,Male,ACM Fellow| IEEE Fellow 
44,Franco Preparata,Brown U,Male,ACM Fellow 
44,Steve Renals,U Edinburgh,Male,IEEE Fellow 
44,Robbert van Renesse,Cornell,Male,ACM Fellow 
44,Rob Rutenbar,UIUC,Male,NA
44,Robert E. Schapire,Princeton,Male,NA
44,Victor Shoup,NYU,Male,NA
44,Mateo Valero,Technical U Catalonia and Barcelona Supercomputing Center,Male,ACM Fellow| IEEE Fellow 
44,Sabrina De Capitani di Vimercati,U degli Studi di Milano,Female,NA
44,Bonnie Webber,U Edinburgh,Male,NA
44,Jason Weston,Google,Male,NA
44,Adam Wolisz,TU Berlin,Male,NA
44,Ellen Zegura,Georgia Tech,Female,ACM Fellow 
43,Don Batory,UT Austin,Male,NA
43,Eli Biham,Technion,Male,IACR Fellow 
43,Raouf Boutaba,U Waterloo,Male,IEEE Fellow| EIC Fellow 
43,Soumen Chakrabarti,IIT Bombay,Male,NA
43,Stephen Cook,U Toronto,Male,Turing Award 
43,Rod Downey,Victoria U,Male,NA
43,Susan Eggers,U Washington,Female,ACM Fellow 
43,Martin Farach-Colton,Rutgers U,Male,NA
43,Uriel Feige,Weizmann,Male,NA
43,Daniela Florescu,Oracle,Male,NA
43,Robert France,Colorado State U,Male,NA
