Rank,Name,Net Worth,Age,Residence,Source,Gender
374,Larry Robbins,1.8 B,47,Alpine  NJ,hedge funds,Male
374,T. Denny Sanford,1.8 B,80,Sioux Falls  SD,banking  credit cards,Male
374,Charles Simonyi,1.8 B,68,Medina  WA,Microsoft,Male
374,Lucy Stitzer,1.8 B,56,Greenwich  CT,Cargill,Female
374,Katherine Tanner,1.8 B,60,Marathon  FL,Cargill,Female
374,Vincent Viola,1.8 B,60,New York  NY,electronic trading,Male
374,Amy Wyss,1.8 B,45,Wilson  WY,medical equipment,Female
374,Jon Yarbrough,1.8 B,59,Franklin  TN,video games,Male
374,Charles Zegar,1.8 B,68,New York  NY,Bloomberg LP,Male
395,Carol Jenkins Barnett,1.7 B,60,Lakeland  FL,Publix supermarkets,Female
395,Nicolas Berggruen,1.7 B,55,Beverly Hills  CA,investments,Male
395,Timothy Boyle,1.7 B,67,Portland  OR,Columbia Sportswear,Male
395,Christopher Cline,1.7 B,58,North Palm Beach  FL,coal,Male
395,Jen-Hsun Huang,1.7 B,53,Los Altos  CA,semiconductors,Male
395,Gail Miller,1.7 B,73,Salt Lake City  UT,basketball  car dealers,Female
