Rank,Name,Net Worth,Age,Residence,Source,Gender
111,Ray Lee Hunt,4.8 B,73,Dallas  TX,oil  real estate,Male
111,Alejandro Santo Domingo,4.8 B,39,New York  NY,beer,Male
111,Andres Santo Domingo,4.8 B,38,New York  NY,beer,Male
111,Daniel Ziff,4.8 B,45,New York  NY,investments,Male
111,Dirk Ziff,4.8 B,52,North Palm Beach  FL,investments,Male
111,Robert Ziff,4.8 B,50,New York  NY,investments,Male
117,Tamara Gustavson,4.7 B,55,Malibu  CA,self storage,Female
117,Sumner Redstone,4.7 B,93,Beverly Hills  CA,media,Male
117,Sam Zell,4.7 B,75,Chicago  IL,real estate  private equity,Male
120,Daniel Gilbert,4.6 B,54,Franklin  MI,Quicken Loans,Male
120,Paul Tudor Jones  II.,4.6 B,62,Greenwich  CT,hedge funds,Male
120,George Lucas,4.6 B,72,San Anselmo  CA,Star Wars,Male
120,Steven Rales,4.6 B,65,Santa Barbara  CA,manufacturing,Male
124,Charles Dolan,4.5 B,90,Oyster Bay  NY,cable television,Male
124,Henry Kravis,4.5 B,72,New York  NY,private equity,Male
124,Nancy Walton Laurie,4.5 B,65,Henderson  NV,Wal-Mart,Female
124,George Roberts,4.5 B,73,Atherton  CA,private equity,Male
128,Stanley Druckenmiller,4.4 B,63,New York  NY,hedge funds,Male
128,Reinhold Schmieding,4.4 B,61,Naples  FL,medical devices,Male
128,Sheldon Solow,4.4 B,88,New York  NY,real estate,Male
131,Rupert Johnson  Jr.,4.3 B,76,Burlingame  CA,money management,Male
131,Karen Pritzker,4.3 B,58,Branford  CT,hotels  investments,Female
133,John Sall,4.2 B,68,Cary  NC,software,Male
134,Phillip Frost,4.1 B,80,Miami Beach  FL,pharmaceuticals,Male
134,Jeffery Hildebrand,4.1 B,57,Houston  TX,oil,Male
134,Gabe Newell,4.1 B,54,Seattle  WA,videogames,Male
134,Terrence Pegula,4.1 B,65,Boca Raton  FL,natural gas,Male
134,Mitchell Rales,4.1 B,60,Potomac  MD,manufacturing  investments,Male
134,Jeffrey Skoll,4.1 B,51,Los Angeles  CA,eBay,Male
134,Leonard Stern,4.1 B,78,New York  NY,real estate,Male
134,Ronda Stryker,4.1 B,62,Portage  MI,medical equipment,Female
142,Jeremy Jacobs  Sr.,4 B,76,East Aurora  NY,Concessions,Male
142,James Jannard,4 B,67,San Juan Islands  WA,sunglasses,Male
142,Gwendolyn Sontheim Meyer,4 B,55,Rancho Santa Fe  CA,Cargill,Female
142,H. Ross Perot  Sr.,4 B,86,Dallas  TX,computer services  real estate,Male
142,Stewart and Lynda Resnick,4 B,NA,Beverly Hills  CA,agriculture  water,Male
142,Russ Weiner,4 B,46,Delray Beach  FL,energy drinks,Male
148,John Morris,3.9 B,68,Springfield  MO,sporting goods retail,Male
148,Ira Rennert,3.9 B,82,New York  NY,investments,Male
150,Marc Benioff,3.8 B,52,San Francisco  CA,business software,Male
150,Diane Hendricks,3.8 B,69,Afton  WI,roofing,Female
150,Reid Hoffman,3.8 B,49,Palo Alto  CA,LinkedIn,Male
150,Robert Rich  Jr.,3.8 B,75,Islamorada  FL,frozen foods,Male
150,Walter Scott  Jr.,3.8 B,85,Omaha  NE,utilities  telecom,Male
150,Kelcy Warren,3.8 B,61,Dallas  TX,pipelines,Male
156,Stephen Bisciotti,3.7 B,56,Millersville  MD,outsourcing  Baltimore Ravens,Male
156,Austen Cargill  II.,3.7 B,65,Livingston  MT,Cargill,Male
156,James Cargill  II.,3.7 B,67,Birchwood  WI,Cargill,Male
