Rank,Name,Net Worth,Age,Source,Gender
51,Ke Zunhong,$3.5 B,62,pharmaceuticals,Male
51,Ye Chenghai,$3.5 B,73,pharmaceuticals,Male
53,Wang Xing,$3.45 B,43,e-commerce,Male
54,Che Jianxing,$3.4 B,50,furniture retailing,Male
54,Xiao Yongming,$3.4 B,52,potash fertilizer,Male
56,Jiang Bin,$3.35 B,50,acoustic components,Male
56,Sun Guangxin,$3.35 B,54,diversified,Male
58,Liang Wengen,$3.3 B,59,construction equipment,Male
58,Lu Xiangyang,$3.3 B,53,automobiles  batteries,Male
58,Wang Xicheng,$3.3 B,68,tires,Male
58,Wang Yusuo,$3.3 B,52,natural gas distribution,Male
62,Yang Kai,$3.2 B,59,dairy products,Male
62,Zhang Xin,$3.2 B,51,real estate,Female
64,Jacky Xu,$3.15 B,44,apparel,Male
65,Li Shuirong,$3.1 B,60,petrochemicals,Male
65,Liu Zhongtian,$3.1 B,52,aluminum products,Male
67,Simon Xie,$2.95 B,46,online payment service,Male
68,Fu Liquan,$2.9 B,49,surveillance equipment,Male
68,Lin Xiucheng,$2.9 B,61,electronics,Male
68,Chanchai Ruayrungruang,$2.9 B,62,real estate,Male
71,Cao Longxiang,$2.85 B,59,pharmaceuticals,Male
71,Ma Xiuhui,$2.85 B,45,LED lighting,Female
73,Chen Jianhua,$2.8 B,45,chemicals,Male
73,Huang Shih Tsai,$2.8 B,65,real estate,Male
73,Yu Yong,$2.8 B,55,mining investments,Male
76,Du Jiangtao,$2.7 B,47,chemicals,Male
76,Qi Shi,$2.7 B,46,financial information,Male
78,Chen Fashu,$2.65 B,56,investments,Male
78,Li Gaiteng,$2.65 B,44,hairdryers,Male
78,Zhang Jing,$2.65 B,45,conglomerate,Male
78,Zhu Gongshan,$2.65 B,58,solar panel materials,Male
82,Huang Wei,$2.6 B,57,diversified,Male
82,Li Li,$2.6 B,52,pharmaceuticals,Male
82,Ma Xingtian,$2.6 B,47,pharmaceuticals,Male
85,Jiang Rensheng,$2.55 B,63,vaccine production,Male
86,Cai Dongqing,$2.5 B,47,animation,Male
86,Chu Mang Yee,$2.5 B,56,real estate,Male
86,Song Zuowen,$2.5 B,69,aluminum  diversified,Male
89,Cai Kui,$2.45 B,53,real estate,Male
89,Chen Bang,$2.45 B,51,hospitals,Male
91,Jiang Weiping,$2.4 B,61,chemicals,Male
91,Li Wa,$2.4 B,50,real estate,Male
91,Xiao Wenge,$2.4 B,49,entertainment,Male
91,Zhang Guiping,$2.4 B,65,real estate,Male
95,Wu Zhigang,$2.35 B,81,bakery chain,Male
95,Xu Jingren,$2.35 B,72,pharmaceuticals,Male
97,Feng Hailiang,$2.3 B,56,copper  real estate,Male
97,Shen Guojun,$2.3 B,54,retail,Male
97,Wu Liangding,$2.3 B,70,wheel production,Male
100,Xue Xiangdong,$2.28 B,57,software,Male
101,Zhao Yan,$2.27 B,49,real estate  finance,Female
102,Gao Tianguo,$2.25 B,65,real estate  finance,Male
102,He Qiaonv,$2.25 B,50,landscape architecture,Female
102,Liang Xinjun,$2.25 B,48,conglomerate,Male
102,Sun Xishuang,$2.25 B,63,real estate,Male
106,Ren Zhengfei,$2.21 B,72,telecom equipment,Male
107,Chen Dongsheng,$2.2 B,59,insurance  auction,Male
107,Fang Wei,$2.2 B,43,steel,Male
107,Wu Jianshu,$2.2 B,52,auto parts,Male
110,Li Zhongchu,$2.18 B,53,software,Male
111,Sze Man Bok,$2.16 B,66,hygiene products,Male
112,Zhang Bangxin,$2.15 B,36,after school tutoring,Male
113,Wu Guangming,$2.14 B,54,medical equipment,Male
113,Zhou Yaoting,$2.14 B,73,apparel  real estate,Male
115,Hui Lin Chit,$2.13 B,63,hygiene products,Male
116,Sit Kwong Lam,$2.1 B,48,oil  transportation,Male
116,Xie Zhikun,$2.1 B,55,investment,Male
118,Wang Changtian,$2.09 B,51,TV  movie production,Male
119,Lam Kong,$2.08 B,52,pharmaceuticals,Male
119,Zhu Xingliang,$2.08 B,57,construction,Male
121,Yuan Yafei,$2.05 B,52,retailing  investments,Male
121,Zheng Yuewen,$2.05 B,54,investments,Male
123,Zhang Li,$2.02 B,63,real estate,Male
124,Kei Hoi Pang,$2 B,50,real estate,Male
124,Zhu Baoguo,$2 B,54,pharmaceuticals,Male
126,Ni Zugen,$1.98 B,59,appliances,Male
127,Fu Guangming,$1.97 B,63,poultry,Male
127,Qin Yinglin,$1.97 B,51,pig breeding,Male
129,Bo Shijiu,$1.96 B,52,logsitics,Male
129,Zhou Chengjian,$1.96 B,51,fashion retail,Male
131,Zhou Xiaoguang,$1.95 B,54,real estate,Female
132,An Kang,$1.93 B,67,pharmaceuticals,Male
132,Lin Li,$1.93 B,53,investments,Male
134,Huang Zhenda,$1.91 B,69,construction,Male
135,Li Hejun,$1.9 B,49,renewable energy,Male
135,Wong Luen Hei,$1.9 B,54,home building materials,Male
135,Wu Xu,$1.9 B,53,real estate,Male
135,Yi Zheng,$1.9 B,46,software,Male
139,Wang Wenjing,$1.88 B,52,business software,Male
140,Lin Jianhua,$1.86 B,54,solar panel components,Male
140,Miao Shouliang,$1.86 B,61,real estate  diversified,Male
142,Huang Qiaoling,$1.85 B,58,amusement parks,Male
142,Lei Jufang,$1.85 B,63,pharmaceuticals,Female
144,Chen Hua,$1.84 B,50,real estate,Male
144,Sun Qinghuan,$1.84 B,43,lighting,Male
146,Jiang Wei,$1.82 B,54,pharmaceuticals,Male
147,Chen Jinxia,$1.8 B,48,investments,Female
147,Cho Tak Wong,$1.8 B,70,auto parts,Male
147,Zhang Yue,$1.8 B,56,Manufacturing,Male
150,Huang Hongyun,$1.79 B,50,real estate,Male
151,Qiu Jianping,$1.78 B,54,hand tools,Male
151,Shuai Fangwen,$1.78 B,50,pharmaceuticals,Male
153,Ding Shizhong,$1.77 B,46,sports apparel,Male
153,Ren Jianhua,$1.77 B,60,kitchen appliances,Male
155,Chu Lam Yiu,$1.76 B,47,flavorings,Female
155,Ding Shijia,$1.76 B,52,sportswear,Male
155,Xiong Xuqiang,$1.76 B,60,real estate,Male
158,Wang Laichun,$1.74 B,49,electronics components,Female
158,Wang Laisheng,$1.74 B,51,electronics components,Male
160,Huang Li,$1.72 B,53,infrared imaging systems,Male
161,Ma Hong,$1.71 B,49,fashion retail,Male
162,Chen Xueli,$1.67 B,65,Pharmaceutical,Male
162,Fang Tonghua,$1.67 B,53,pharmaceuticals,Male
162,Wen Jianping,$1.67 B,54,sewage treatment,Male
162,Zan Shengda,$1.67 B,53,diversified,Male
166,Geng Jianming,$1.65 B,54,real estate,Male
166,Li Liufa,$1.65 B,59,steel  diversified,Male
168,Wang Qingtao,$1.61 B,54,steel smelting,Male
