CID,CSRankingOtherAreas,Average Count,Facult,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
11,0.583333333,0.020581114,0.046875,0.084745763,0.192307692,0.279411765,0.623762376,0.061728395,0.359649123,1,1,1,1,0.449121744,0.821520337,0.09365337,0,0.231790417,1,0.595303867,0,0.159092102,0,0.083392498,0,0.368715084,0.618062862,0.742811767,0.048075,1,0.279069767,0.241181782,0.533333333,0.80952381,0.234042553,0.441798942,0.32,0.627553238,0.640677965,0.444327731,0,0,0,1,4,4,1,1,1,3,1,1,1,2,3,1,3,3,3,1,1,1,3,1,2,3,3
23,0.583333333,0.020581114,0.125,0.050847458,0.115384615,0.029411765,0.069306931,0.024691358,0.070175439,0.079207921,0.388888889,0.532786885,0.824074074,0.377952756,0.647288109,0.638780217,1,0.510356997,0.484848485,0.582872928,0,0.250004375,0.35122162,0.306235948,0.535407804,0.279329609,0.289862835,0.916040486,0.2941125,0.625,0.093023256,0.142401436,0.3,0.825396825,0.120567376,0.132275132,0.162857143,0.431501831,0.214285714,0.803571429,0,0,0,0.625,1,3,1,1,1,3,1,3,4,4,3,2,1,4,3,3,3,1,1,3,3,1,3
53,0.625,0.01937046,0.03125,0.254237288,0.836538462,0.397058824,0.653465347,0.666666667,0.929824561,0,0,0.016393443,0.185185185,0.038158692,0.528307493,0,1,1,0,0.613259669,0,1,0.24000384,1,0,0,0.337593021,0.511982364,0.15625,1,0,0.034171839,0.2,0.317460317,0.021276596,0.015873016,0.037142857,0.389743589,0.507692307,0,0,0.125,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,1,3,2,1,3
51,0.625,0.01937046,0.078125,0.627118644,0.692307692,0.294117647,0.633663366,0.222222222,0.710526316,0.574257426,0.87037037,0.557377049,0.833333333,0.157480315,0.892241003,0.014128299,0.884605799,0.364829646,0.293939394,0.552486188,0,0.13999965,0.411414583,0.310081647,0.566123739,0.106145251,0.956516749,0.762960154,0,0.75,0.191860465,0.132705896,0.6,0.619047619,0.09929078,0.103174603,0.168571429,1,0,-1,-1,-1,-1,0.75,2,3,0,1,1,2,1,1,1,4,3,2,1,4,3,1,3,1,1,2,2,3,2
45,0.666666667,0.018159806,0.046875,0.372881356,0.432692308,0.205882353,0.554455446,0.197530864,0.631578947,0.03960396,0.314814815,0.663934426,0.916666667,0.249848577,0.753246753,0.054941488,1,0.440885028,0.242424242,0.654696133,0,0.333339167,0,0.044610105,0.793800899,0.078212291,0.367895472,1,0,1,0.052325581,0.062113761,0.066666667,0.73015873,0.070921986,0.03968254,0.031428571,0,0,0.525210084,0,0.5,0,1,1,2,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1
29,0.6875,0.016949153,0.078125,0.338983051,0.432692308,0.426470588,0.653465347,0.209876543,0.535087719,0.237623762,0.666666667,0.336065574,0.685185185,0.353422168,0.442729545,0.131357308,1,0.135577576,0.909090909,0.720994475,0.722308892,0.201914495,0,0.587948172,0.468834326,0.111731844,0.197903315,0.249057767,0.059525,1,0.069767442,0.10590313,0.6,0.619047619,0.106382979,0.095238095,0.108571429,0,0.583098591,1,-1,-1,-1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3
27,0.708333333,0.015738499,0.125,0.86440678,0.817307692,0.867647059,0.920792079,0.530864198,0.842105263,0.306930693,0.75,0.12295082,0.314814815,0.127195639,0.491164287,0.024805672,0.925832849,0.062793539,0.808090909,0.70718232,0.634165367,0.111702221,0.165506648,0.52124009,0.895636319,0.229050279,0,0,0.11905,0.875,0.174418605,0.247017035,0.233333333,0.888888889,0.255319149,0.261904762,0.162857143,0.351904406,0.646601941,0.050420168,0,0,0,0.875,1,4,1,0,1,3,1,1,4,1,3,1,2,1,3,2,3,1,1,1,2,1,3
46,0.729166667,0.014527845,0.046875,0.576271186,0.605769231,0.514705882,0.712871287,0.24691358,0.649122807,0.237623762,0.703703704,0.172131148,0.37962963,0.190187765,0.570642009,0.150337405,0.755649248,0.095384824,0.454545455,0.773480663,0.565262611,0.2799993,0.137138194,0.498757543,0.729305944,0.083798883,0,0.728304928,0,0.625,0.046511628,0.127213278,0.733333333,0.587301587,0.09929078,0.148148148,0.231428571,0.74051282,0.32,0,0,0.087,0,0.625,3,3,1,1,1,3,3,1,1,4,3,2,1,4,2,4,2,1,1,3,2,1,3
36,0.75,0.012106538,0.078125,0.355932203,0.403846154,0.088235294,0.366336634,0.061728395,0.394736842,0.188118812,0.675925926,0.62295082,0.87037037,0.329497274,0.913478177,0.135389083,1,0.365467626,0.606060606,0.921270718,0,0.194442014,0.711131378,0,0.704643248,0.055865922,0.19130335,1,0.15625,0.625,0.075581395,0.10552122,0.566666667,0,0.113475177,0.092592593,0.054285714,0.93199554,0,0.919117647,0,0,0,0.625,4,2,0,1,1,3,1,4,1,1,4,2,2,3,3,4,3,1,1,1,2,1,3
33,0.770833333,0.00968523,0.09375,0.271186441,0.346153846,0.102941176,0.425742574,0.086419753,0.535087719,0.108910891,0.481481481,0.049180328,0.12962963,0.408843125,0.780776424,0.035670966,0.950548309,0.228994163,0.515151515,0.774861878,0,0.304341739,0.6000096,0.414122589,1,0.284916201,0.446368106,0.893735037,0,0.75,0.075581395,0.119472118,0.566666667,0.682539683,0.085106383,0.283068783,0.365714286,0.597232983,0.323741007,0,0,0.071,0.62962963,0.75,1,4,1,1,1,3,3,3,3,1,3,4,3,1,3,4,3,3,3,3,3,1,3
19,0.770833333,0.00968523,0.03125,0.237288136,0.394230769,0.147058824,0.514851485,0.172839506,0.605263158,0.059405941,0.37037037,0.270491803,0.518518519,0.354936402,0.613326109,0.04576749,1,0.288299172,0.606060606,0.849447514,0.342173687,0.262499344,0.4500072,0.165365046,0.868226571,0.245810056,0.43630555,0.333775808,0.15625,1,0.23255814,0.23243876,0.666666667,0.634920635,0.234042553,0.243386243,0.351428571,0.584615385,0.486,0.218487395,0.06,0,0,1,2,4,1,1,1,3,3,3,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3
34,0.8125,0.008474576,0.0625,0.559322034,0.576923077,0.985294118,0.95049505,1,1,0.267326733,0.657407407,0.196721311,0.444444444,0.084797093,0,0.050773042,0.370628063,0.296226415,0.515151515,0.921270718,0.928627145,0.291671771,0.097969568,0.379600047,0.778959524,0.134078212,0.850228608,0.16412639,0.037875,0.75,0.215116279,0.162635306,0.466666667,0.746031746,0.134751773,0.291005291,0.294285714,0.276068376,0.525,0,0,0,0,0.75,2,4,1,0,1,3,1,1,1,1,3,1,4,4,3,1,3,1,3,2,3,3,3
26,0.833333333,0.007263923,0.09375,0.474576271,0.528846154,0.205882353,0.554455446,0.160493827,0.578947368,0.277227723,0.666666667,0.278688525,0.555555556,0.335857056,0.750187901,0.010814043,0.799015535,0.50234831,0.065151515,0.741712707,0.361154446,0.184204539,0.63999424,0.39314874,0.568968032,0.217877095,0.332695656,0.303505819,0.078125,1,0.168604651,0.15948456,0.466666667,0.777777778,0.191489362,0.283068783,0.382857143,0.458338461,0.3168,0,0.09,0.063,0,1,5,4,0,0,1,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,3,3
57,0.854166667,0.003631961,0.015625,0.881355932,0.826923077,0.264705882,0.623762376,0.148148148,0.543859649,0.247524752,0.657407407,0.213114754,0.435185185,0.124470018,0.791333834,0.200871274,1,0.505660377,0.606060606,0.306629834,0,0.159092102,0.63999424,0.438794226,0.679251246,0.061452514,0.805482754,0.777775144,0.15625,0.25,0.011627907,0,0.166666667,0.904761905,0,0,0,0.619004525,0.211764706,0.656512605,0.178571429,0,0,0.25,5,1,1,1,1,3,1,1,1,4,4,4,4,4,1,4,1,3,3,3,3,1,3
17,0.854166667,0.003631961,0.0625,0.06779661,0.259615385,0.102941176,0.366336634,0.12345679,0.447368421,0.643564356,0.87037037,0.827868852,0.944444444,0.412477286,0.604009718,0.123772102,0.851644928,0.386819601,0.393939394,0.540055249,0.382345294,0.154419614,0.392742284,0.178706662,0.441424578,0.659217877,0.358693781,0.935122194,0.3125,0.625,0.180232558,0.227848445,0.3,0.698412698,0.19858156,0.412698413,0.408571429,0.334905296,0.153768845,0.337184874,0.357142857,0.286,0,0.625,5,4,0,1,1,3,1,1,1,1,3,4,3,4,1,4,1,1,1,3,3,3,3
54,0.854166667,0.003631961,0.0625,0.983050847,1,1,1,0.901234568,0.98245614,0.584158416,0.87962963,0.155737705,0.333333333,0.004542701,0.301952422,0.008593149,1,0.627066649,0.2,0.165745856,0.342173687,0.138162155,0.564729036,0.385841912,0.858782059,0.240223464,0.42945689,0.689785953,0.0329,0.75,0.186046512,0.235791788,0.7,0.571428571,0.191489362,0.396825397,0.68,0.298662208,0.322826087,0,0,0,0.14021164,0.75,3,4,0,1,1,3,1,1,1,4,1,1,1,4,2,2,2,1,1,1,2,1,3
52,0.916666667,0.002421308,0,0.525423729,0.567307692,0.220588235,0.613861386,0.160493827,0.570175439,0.128712871,0.583333333,0,0,0.30466384,0.717799025,0.041137781,1,0.090213113,0.696969697,0.839779006,0.722308892,0.250004375,0.872749964,0.507809727,0.984976298,0.027932961,0.527729421,0.11463247,0,1,0.069767442,0.106724913,0.933333333,0.619047619,0.070921986,0.063492063,0.091428571,0.021652422,1,0.087184874,0,0,0,1,1,2,1,1,1,3,1,3,1,3,3,1,3,3,3,1,3,1,1,3,3,3,3
40,0.9375,0.001210654,0.046875,0.355932203,0.432692308,0.411764706,0.663366337,0.333333333,0.666666667,0.257425743,0.666666667,0.155737705,0.342592593,0.264082374,0.591424726,0.024651918,0.948076763,0.1836297,0.515151515,0.578729282,0.245319813,0.452583869,0.2250276,0.451070879,0.707621247,0.335195531,0.3049758,0.699054211,0.09375,0.75,0.302325581,0.351553788,0.633333333,0.761904762,0.333333333,0.473544974,0.488571429,0.444637053,0.304225353,0.262605042,0,0.025,0,0.75,5,4,1,1,1,2,1,3,1,4,3,1,4,2,1,1,3,3,3,3,3,3,3
22,0.9375,0.001210654,0.0625,0.06779661,0.144230769,0.029411765,0.138613861,0.024691358,0.140350877,0.059405941,0.314814815,0.401639344,0.722222222,0.771653543,0.714687735,0.1396942,1,0.502606217,0.303030303,0.604972376,0.520020801,0.241376897,0,0.263193705,0.787832746,0.268156425,0.281330706,0.833645436,0.178575,1,0.098837209,0.143064234,0.5,0.825396825,0.127659574,0.195767196,0.208571429,0.519658119,0.183333333,0.050420168,0,0.619,0,1,5,3,1,1,1,3,1,3,3,1,3,1,3,1,3,1,1,1,1,3,2,3,1
25,0.9375,0.001210654,0.078125,0.355932203,0.471153846,0.5,0.722772277,0.148148148,0.51754386,0.851485149,0.916666667,0.245901639,0.601851852,0.400666263,0.574889444,0.084684377,0.307697101,0,0.606060606,0.716850829,0,0.189192027,0,0.321973731,0.974133949,0.206703911,0,0.954037974,0,1,0.093023256,0.18084595,0.6,0.73015873,0.156028369,0.288359788,0.379285714,0.619517795,0.483582088,0.349789916,0,0,0,1,2,4,1,0,1,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,3,1,3
56,1,0,0.046875,0.694915254,0.730769231,0.911764706,0.96039604,0.530864198,0.824561404,0.712871287,0.898148148,0.303278689,0.62037037,0.109024833,0.450560207,0.061723755,0.350959541,0.139989141,0.454545455,0.613259669,0.393915757,0.213411966,0.114289829,0.325079872,0.813528625,0.167597765,0.433149044,0.258397137,0,0.875,0.209302326,0.205716935,0.733333333,0.650793651,0.212765957,0.246031746,0.202857143,0.545641026,0.548571429,0.12394958,0,0.235,0.156084656,0.875,3,4,1,1,1,3,3,3,1,1,3,3,3,3,1,1,3,1,3,3,4,3,3
31,1,0,0.015625,0.288135593,0.471153846,0.191176471,0.504950495,0.135802469,0.526315789,0.475247525,0.805555556,0.016393443,0.064814815,0.417928528,0.580185629,0.062697531,0.505483094,0.425383467,0.121212121,0.38121547,0,0.208336979,1,0.425423027,0.994505895,0.312849162,1,0.755303767,0.0245125,1,0.412790698,0.232785136,0.4,0.682539683,0.219858156,0.288359788,0.488571429,0.381789639,0.385714285,0.040966387,0,0.176,0.518518519,1,1,4,1,0,1,2,1,1,1,1,3,3,1,1,3,1,1,1,3,3,3,1,3
35,1,0,0.046875,0.254237288,0.317307692,0.102941176,0.336633663,0.037037037,0.210526316,0.396039604,0.759259259,0.221311475,0.546296296,0.537250151,0.637884323,0.263876313,1,0.273571332,0.575757576,0.357734807,0,0.120697198,0.15998656,0.634924861,0.636696244,0.162011173,0.337593021,1,0,0.875,0.098837209,0.117389367,0.4,0.365079365,0.120567376,0.076719577,0.088571429,0.546898262,0.203225807,0,0,1,0,0.875,3,2,1,1,1,3,1,3,1,1,3,3,3,3,1,4,1,1,1,1,2,3,3
