CID,CSRankingPL,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
40,31,0.067484663,0.115384615,0.355932203,0.45,0.417910448,0.676767677,0.333333333,0.666666667,0.257425743,0.666666667,0.155737705,0.342592593,0.264082374,0.591424726,0.024651918,0.948076763,0.1836297,0.515151515,0.538560411,0.245319813,0.452583869,0.2250276,0.451070879,0.71153047,0.335195531,0.275360567,0.75554058,0.10499937,0.75,0.302325581,0.328611198,0.633333333,0.761904762,0.31884058,0.465053763,0.476608187,0.444637053,0.304225353,0.262605042,0,0.037481259,0,0.75,5,4,1,1,1,2,1,3,1,4,3,1,4,2,1,1,3,3,3,3,3,3,3
16,31,0.067484663,0.230769231,0.118644068,0.28,0.149253731,0.494949495,0.098765432,0.5,0.108910891,0.472222222,0.196721311,0.453703704,0.443064809,0.765464683,0.017989237,1,0.274765848,0.272727273,0.595115681,0.300182007,0.278984303,0.3000048,0.311649509,0.874575277,0.586592179,0.024682615,0.864272649,0,0.75,0.308139535,0.398615388,0.9,0.206349206,0.398550725,0.521505376,0.684210526,0.745518702,0.322018349,0.170168067,0,0,1,0.75,5,4,1,0,1,3,3,1,1,4,1,4,3,3,3,3,3,3,3,3,3,1,1
56,33,0.061349693,0.115384615,0.694915254,0.76,0.925373134,0.97979798,0.530864198,0.824561404,0.712871287,0.898148148,0.303278689,0.62037037,0.109024833,0.450560207,0.061723755,0.350959541,0.139989141,0.454545455,0.570694087,0.393915757,0.213411966,0.114289829,0.325079872,0.818022929,0.167597765,0.391087313,0.397593145,0,0.875,0.209302326,0.177614511,0.733333333,0.650793651,0.195652174,0.233870968,0.184210526,0.545641026,0.548571429,0.12394958,0,0.352323838,0.156084656,0.875,3,4,1,1,1,3,3,3,1,1,3,3,3,3,1,1,3,1,3,3,4,3,3
46,33,0.061349693,0.153846154,0.576271186,0.63,0.52238806,0.727272727,0.24691358,0.649122807,0.237623762,0.703703704,0.172131148,0.37962963,0.190187765,0.570642009,0.150337405,0.755649248,0.095384824,0.454545455,0.719794344,0.565262611,0.2799993,0.137138194,0.498757543,0.733334963,0.083798883,0,0.779301049,0,0.625,0.046511628,0.096333326,0.733333333,0.587301587,0.079710145,0.134408602,0.213450292,0.74051282,0.32,0,0,0.130434783,0,0.625,3,3,1,1,1,3,3,1,1,4,3,2,1,4,2,4,2,1,1,3,2,1,3
42,35,0.055214724,0.153846154,0.779661017,0.82,0.746268657,0.95959596,0.320987654,0.728070175,0.366336634,0.759259259,0.450819672,0.740740741,0.038461538,0.87012987,0.045203724,0.480767633,0.46896973,0.399878788,0.471722365,0.684217369,0.325586686,0.342869486,0.430718258,0.326871837,0.195530726,0.179929182,0.251198614,0,0.625,0.180232558,0.212017277,0.633333333,0.428571429,0.210144928,0.123655914,0.160818713,0.562962962,0.133333333,0.066176471,0,0.562218891,0,0.625,5,3,1,0,1,3,1,1,4,4,3,3,2,4,3,1,1,3,1,3,3,3,3
49,36,0.042944785,0.192307692,0.576271186,0.69,0.447761194,0.676767677,0.530864198,0.780701754,0.00990099,0.305555556,0.581967213,0.87037037,0.245003028,0.387547849,0.012231998,0.826929467,0.40996335,0.454545455,1,0,0,0.685738972,0.103508461,0.745263878,0.027932961,0.454547025,0.694194666,0,0.875,0.011627907,0.012128072,0.5,-1,0,0.002688172,0.052631579,0.722171946,0.476470587,0.095588235,0,0,0,0.875,5,2,1,1,1,3,1,1,1,4,3,3,1,3,3,1,3,3,3,3,2,3,3
20,36,0.042944785,0.076923077,0.152542373,0.33,0.044776119,0.262626263,0.024691358,0.157894737,0.148514851,0.638888889,0.868852459,0.981481481,0.427922471,0.885109507,0.349978645,1,0.351350618,0.606060606,0.502570694,0,0.218749453,0,0.235800497,0.468515486,0.094972067,0.310026773,0.878771541,0.2333366,0.75,0.127906977,0.075458443,0.133333333,-1,0.130434783,0.053763441,0.038011696,0.239842209,0,0.175420168,0.292469352,1,0,0.75,1,2,1,0,1,3,1,3,1,4,3,3,1,4,3,3,3,1,1,1,3,3,3
24,36,0.042944785,0.076923077,0.254237288,0.43,0.164179104,0.494949495,0.074074074,0.342105263,0.217821782,0.657407407,0.639344262,0.87962963,0.235614779,0.579713691,0.367677458,1,0.26206054,0.403030303,0.440874036,0,0.16406209,0.177794845,0.175659685,0.745263878,0.217877095,0.052336126,0.915471262,0.13999916,0.875,0.093023256,0.129156879,0.3,0.873015873,0.130434783,0.112903226,0.108187135,0.577571826,0.563855421,0,0,0,0,0.875,1,3,1,1,1,3,1,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3
28,39,0.036809816,0.115384615,0.305084746,0.44,0.388059701,0.686868687,0.172839506,0.578947368,0.297029703,0.759259259,0.532786885,0.851851852,0.321926105,0.719861565,0.044725378,0.515390047,0.468413194,0.696969697,0.575835476,0,0.142852143,0.189459031,0.293485978,0.689127087,0.502793296,0,0.559314528,0.09333744,0.75,0.186046512,0.228530722,0.6,0.603174603,0.253623188,0.397849462,0.409356725,0.378764897,0.24084507,0.034663866,0,0.1994003,0.441798942,0.75,2,4,1,0,1,3,1,3,3,4,3,4,2,3,3,2,3,3,3,3,3,3,2
27,39,0.036809816,0.153846154,0.86440678,0.85,0.880597015,0.939393939,0.530864198,0.842105263,0.306930693,0.75,0.12295082,0.314814815,0.127195639,0.491164287,0.024805672,0.925832849,0.062793539,0.808090909,0.658097686,0.634165367,0.111702221,0.165506648,0.52124009,0.900584224,0.229050279,0,0.187696159,0.1333352,0.875,0.174418605,0.220375844,0.233333333,0.888888889,0.239130435,0.25,0.143274854,0.351904406,0.646601941,0.050420168,0,0,0,0.875,1,4,1,0,1,3,1,1,4,1,3,1,2,1,3,2,3,1,1,1,2,1,3
12,39,0.036809816,0.115384615,0.423728814,0.57,0.119402985,0.373737374,0.074074074,0.359649123,0.415841584,0.824074074,0.204918033,0.425925926,0.465778316,0.58513223,0.199538738,1,0.376774807,0.454545455,0.584832905,0,0.184204539,0.857149714,0.322802035,0.718961598,0.251396648,0,0.77273515,0.311106133,0.375,0.110465116,0.179995226,0.533333333,0.53968254,0.15942029,0.166666667,0.195906433,0.687782805,0.247058823,0.233193277,0,0,0,0.375,1,3,0,1,1,3,1,1,4,4,3,2,4,4,3,3,3,3,3,4,2,3,2
38,42,0.030674847,0,0.762711864,0.81,0.656716418,0.828282828,0.407407407,0.745614035,0.079207921,0.5,0.540983607,0.824074074,0.340399758,0.347031165,0.024942342,1,0.205280304,0.454545455,0.733933162,0.812532501,0.102934743,0.411414583,0.159951485,0.673788164,0.12849162,0.392555488,0.352748628,0,0,0.029069767,0.041449279,1,0.507936508,0.02173913,0.102150538,0.14619883,0.629585798,0.276923077,-1,-1,-1,-1,0,3,3,1,1,1,2,2,1,-1,-1,3,-1,-1,-1,3,-1,-1,1,1,3,2,-1,2
10,42,0.030674847,0.346153846,0.118644068,0.25,0.164179104,0.474747475,0.111111111,0.447368421,0.653465347,0.861111111,0.385245902,0.685185185,0.499697153,0.686021919,0.03334757,0.516989283,0.267463011,0.696969697,0.475578406,0,0.12804718,0.446503144,0.430718258,0.589796866,0.446927374,0.63775801,1,0.036847779,1,0.279069767,0.1964456,0.266666667,0.888888889,0.195652174,0.35483871,0.473684211,0.584615385,0.244444444,0.691176471,0,0,0,1,2,4,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,2,3,3
31,42,0.030674847,0.192307692,0.288135593,0.49,0.194029851,0.515151515,0.135802469,0.526315789,0.475247525,0.805555556,0.016393443,0.064814815,0.417928528,0.580185629,0.062697531,0.505483094,0.425383467,0.121212121,0.354755784,0,0.208336979,1,0.425423027,1,0.312849162,0.902893169,0.80123231,0.027453835,1,0.412790698,0.205640408,0.4,0.682539683,0.202898551,0.27688172,0.476608187,0.381789639,0.385714285,0.040966387,0,0.263868066,0.518518519,1,1,4,1,0,1,2,1,1,1,1,3,3,1,1,3,1,1,1,3,3,3,1,3
32,45,0.012269939,0.038461538,0.474576271,0.58,0.537313433,0.737373737,0.592592593,0.859649123,0.138613861,0.527777778,0.081967213,0.175925926,0.033010297,0.597087973,0.039412317,1,0.430378716,0.606060606,0.485861183,0.838793552,0.262499344,0.744827917,0.402112176,0.780451734,0.25698324,0.863632438,0.51092712,0.077783533,0.875,0.36627907,0.230706353,-1,-1,0.188405797,0.338709677,0.321637427,0.403763143,0.517985611,0.116596639,0,0,0,0.875,4,4,1,0,1,3,3,1,2,4,3,3,1,1,3,1,3,3,3,1,2,1,3
52,46,0.006134969,0.038461538,0.525423729,0.59,0.223880597,0.626262626,0.160493827,0.570175439,0.128712871,0.583333333,0,0,0.30466384,0.717799025,0.041137781,1,0.090213113,0.696969697,0.781491003,0.722308892,0.250004375,0.872749964,0.507809727,0.990417756,0.027932961,0.476483289,0.280812554,0,1,0.069767442,0.075120065,0.933333333,0.619047619,0.050724638,0.048387097,0.070175439,0.021652422,1,0.087184874,0,0,0,1,1,2,1,1,1,3,1,3,1,3,3,1,3,3,3,1,3,1,1,3,3,3,3
48,46,0.006134969,0,0.406779661,0.58,0.28358209,0.636363636,0.197530864,0.675438596,0.207920792,0.592592593,0.180327869,0.37962963,0.27195639,0.720473336,0,0.785141647,0.38762047,0.303030303,0.514138817,0.44825793,0.184204539,0.411414583,0.338362324,0.861301914,0.290502793,0.387753692,0.752844902,0.17499895,1,0.186046512,0.182671442,-1,-1,0.173913043,0.293010753,0.368421053,0.608,0.3888,0,0.218914186,0,0.111111111,1,5,4,1,0,1,3,1,3,1,1,3,1,3,3,3,3,3,1,3,3,3,1,3
55,46,0.006134969,0.038461538,0.949152542,1,0.71641791,0.868686869,0.444444444,0.780701754,0.316831683,0.722222222,0.37704918,0.657407407,0.106299213,0.45629337,0.134039464,0.877835009,0.181389982,0.303030303,0.505141388,0,0.159092102,0.564729036,0.290586913,0.694101542,0.162011173,1,0,0,0.375,0.23255814,0.1062966,0.4,0.761904762,0.057971014,0.110215054,0.17251462,0.41081081,0.802702702,0,0,0,0,0.375,1,3,1,1,0,3,1,1,1,4,2,4,1,4,1,4,1,1,1,4,3,1,2
51,46,0.006134969,0.038461538,0.627118644,0.72,0.298507463,0.646464646,0.222222222,0.710526316,0.574257426,0.87037037,0.557377049,0.833333333,0.157480315,0.892241003,0.014128299,0.884605799,0.364829646,0.293939394,0.514138817,0,0.13999965,0.411414583,0.310081647,0.569251265,0.106145251,0.863632438,0.807451622,0,0.75,0.191860465,0.102020278,0.6,0.619047619,0.079710145,0.088709677,0.149122807,1,0,-1,-1,-1,-1,0.75,2,3,0,1,1,2,1,1,1,4,3,2,1,4,3,1,3,1,1,2,2,3,2
41,50,0,0,0.830508475,0.92,0.179104478,0.545454545,0.160493827,0.622807018,0.227722772,0.731481481,0.491803279,0.842592593,0.341913992,0.744175071,0,1,0.214347767,0.984848485,0.609254499,0,0.102934743,0,0.280617678,0.822227383,0.067039106,0.181811901,0.663040339,1,0.875,0.011627907,0.030991549,0.333333333,0.746031746,0.02173913,0.040322581,0.090643275,0,0.266666666,0.150210084,1,0,0,0.875,1,2,1,1,1,3,3,3,1,4,3,2,3,2,3,1,2,3,2,3,2,2,2
