CID,CSRankingPL,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
17,11,0.282208589,0.115384615,0.06779661,0.27,0.104477612,0.373737374,0.12345679,0.447368421,0.643564356,0.87037037,0.827868852,0.944444444,0.412477286,0.604009718,0.123772102,0.851644928,0.386819601,0.393939394,0.502570694,0.382345294,0.154419614,0.392742284,0.178706662,0.443863209,0.659217877,0.323862164,0.947299509,0.3499979,0.625,0.180232558,0.200529053,0.3,0.698412698,0.18115942,0.403225806,0.394736842,0.334905296,0.153768845,0.337184874,0.437828371,0.428785607,0,0.625,5,4,0,1,1,3,1,1,1,1,3,4,3,4,1,4,1,1,1,3,3,3,3
18,11,0.282208589,0.269230769,1,0.97,0.820895522,1,0.24691358,0.728070175,0.762376238,0.962962963,0.459016393,0.759259259,0.122047244,0.895509605,0,1,0.166485679,0.448484848,0,0,0.32812418,0.266692267,0.106052538,0.822227383,0.061452514,0.1919164,0.950495812,0,0.875,0.005813953,0.028319861,0,0.634920635,0.014492754,0.045698925,0.070175439,0.501098902,0.45,0,0,0,0.611111111,0.875,1,2,1,1,1,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3
7,13,0.27607362,0.5,0.084745763,0.26,0.208955224,0.575757576,0.209876543,0.657894737,0.267326733,0.703703704,0.262295082,0.518518519,0.233192005,0.78210484,0.034987614,0.861531112,0.21167368,0.742424242,0.627249357,0.400026001,0.323084192,0.410262564,0.334398296,0.661443692,0.56424581,0.268693324,0.933224223,0.062215627,1,0.424418605,0.452391702,0.666666667,0.492063492,0.449275362,0.577956989,0.505847953,0.733165195,0.324590164,0,0,0,0,1,3,4,1,1,0,3,3,1,1,1,3,3,3,1,3,1,3,1,1,3,2,1,2
26,14,0.263803681,0.192307692,0.474576271,0.55,0.208955224,0.565656566,0.160493827,0.578947368,0.277227723,0.666666667,0.278688525,0.555555556,0.335857056,0.750187901,0.010814043,0.799015535,0.50234831,0.065151515,0.690231362,0.361154446,0.184204539,0.63999424,0.39314874,0.572111271,0.217877095,0.300388635,0.434235102,0.087499475,1,0.168604651,0.129746394,0.466666667,0.777777778,0.173913043,0.271505376,0.368421053,0.458338461,0.3168,0,0.11033275,0.094452774,0,1,5,4,0,0,1,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,3,3
4,15,0.239263804,0.346153846,0,0,0,0,0,0,0.277227723,0.675925926,0.901639344,0.981481481,0.604482132,0.782227194,1,0.925832849,0.278281526,0.696969697,0.520565553,0.302392096,0.122097195,0.410262564,0.097207431,0.444963211,0.631284916,0.50968132,0.796880716,0.0499937,1,0.255813953,0.221644037,0.066666667,1,0.210144928,0.475806452,0.406432749,0.759730592,0,0.713235294,0,0.214392804,0,1,5,4,1,1,1,3,1,3,3,1,3,1,3,1,3,1,3,3,3,1,3,3,3
23,16,0.226993865,0.307692308,0.050847458,0.12,0.029850746,0.070707071,0.024691358,0.070175439,0.079207921,0.388888889,0.532786885,0.824074074,0.377952756,0.647288109,0.638780217,1,0.510356997,0.484848485,0.542416452,0,0.250004375,0.35122162,0.306235948,0.538365641,0.279329609,0.261715174,0.931799365,0.329404024,0.625,0.093023256,0.112058854,0.3,0.825396825,0.101449275,0.11827957,0.143274854,0.431501831,0.214285714,0.803571429,0,0,0,0.625,1,3,1,1,1,3,1,3,4,4,3,2,1,4,3,3,3,1,1,3,3,1,3
21,17,0.202453988,0.269230769,0.13559322,0.24,0.044776119,0.161616162,0.061728395,0.333333333,0.089108911,0.416666667,0.745901639,0.916666667,0.525741975,0.699987765,0.112086786,1,0.403094883,0.818181818,0.674807198,0.361154446,0.13999965,0.26184419,0.176280914,0.60057689,0.324022346,0.418723551,1,0.6999958,0.875,0.284883721,0.198010021,0.4,0.507936508,0.260869565,0.204301075,0.195906433,0,0.016666666,0.525210084,0.875656743,0,0,0.875,1,3,1,1,1,3,1,1,3,4,3,3,3,2,3,3,1,1,1,3,3,1,3
34,18,0.190184049,0.307692308,0.559322034,0.6,1,0.96969697,1,1,0.267326733,0.657407407,0.196721311,0.444444444,0.084797093,0,0.050773042,0.370628063,0.296226415,0.515151515,0.857326478,0.928627145,0.291671771,0.097969568,0.379600047,0.783262852,0.134078212,0.767665602,0.321016655,0.042419745,0.75,0.215116279,0.133008617,0.466666667,0.746031746,0.115942029,0.279569892,0.277777778,0.276068376,0.525,0,0,0,0,0.75,2,4,1,0,1,3,1,1,1,1,3,1,4,4,3,1,3,1,3,2,3,3,3
37,19,0.18404908,0.230769231,0.542372881,0.56,0.656716418,0.828282828,0.444444444,0.807017544,0.069306931,0.314814815,0.754098361,0.935185185,0.133555421,0.607260841,0.008353976,0.792307053,0.321623456,0.757575758,0.93059126,0.722308892,0.131249672,0,0.226837061,0.587144638,0.122905028,0,0.545720612,0,0.875,0.13372093,0.188162947,0.9,0.444444444,0.188405797,0.188172043,0.114035088,0.637762237,0.212727272,0,0,0.47976012,0,0.875,5,3,1,0,1,3,2,1,1,1,3,3,2,1,3,1,-1,3,3,3,2,3,3
25,19,0.18404908,0.192307692,0.355932203,0.49,0.507462687,0.737373737,0.148148148,0.51754386,0.851485149,0.916666667,0.245901639,0.601851852,0.400666263,0.574889444,0.084684377,0.307697101,0,0.606060606,0.667095116,0,0.189192027,0,0.321973731,0.97951551,0.206703911,0,0.96266487,0,1,0.093023256,0.151863569,0.6,0.73015873,0.137681159,0.27688172,0.364766082,0.619517795,0.483582088,0.349789916,0,0,0,1,2,4,1,0,1,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,3,1,3
