CID,CSRankingSystem,Average Count,Facult,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Fi-1cial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
2,1,1,0.948717949,0.033898305,0.028846154,0.029411765,0.069306931,0.024691358,0.078947368,0.04,0.239583333,0.616666667,0.851485149,0.443670503,0.888063484,0.47556163,1,0.94831483,0.61102107,0.520565553,0.188377535,0.670211121,0.292708683,0.558611401,0.412410356,0.810344828,0,0.333775808,0.164475,0.875,0.341040462,0.375446648,0.1,0.53968254,0.453900709,0.650793651,0.397142857,0.758142577,0.260791368,0.276260504,0.188571429,0,0,0.875,1,4,1,1,1,3,1,3,1,4,3,3,2,3,3,1,3,3,3,3,2,3,2
4,2,0.913385827,0.769230769,0,0,0,0,0,0,0.27,0.635416667,0.9,0.98019802,0.604482132,0.782227194,1,0.925832849,0.406443299,0.675850891,0.520565553,0.302392096,0.269778053,0.410262564,0.210245047,0.442518537,0.620689655,0.511474728,0.749946666,0.0446375,1,0.260115607,0.248241891,0.066666667,1,0.226950355,0.484126984,0.42,0.81516548,0,0.713235294,0,0.143,0,1,5,4,1,1,1,3,1,3,3,1,3,1,3,1,3,1,3,3,3,1,3,3,3
10,3,0.874015748,0.897435897,0.118644068,0.240384615,0.161764706,0.465346535,0.111111111,0.447368421,0.65,0.84375,0.375,0.663366337,0.499697153,0.686021919,0.03334757,0.516989283,0.390642347,0.675850891,0.475578406,0,0.282924754,0.446503144,0.700078206,0.58655646,0.431034483,0.64000208,1,0.0329,1,0.283236994,0.223904531,0.266666667,0.888888889,0.212765957,0.365079365,0.485714286,0.627272727,0.339506173,0.691176471,0,0,0,1,2,4,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,2,3,3
15,4,0.771653543,0.615384615,0.152542373,0.240384615,0.132352941,0.485148515,0.061728395,0.359649123,0.45,0.760416667,0.691666667,0.900990099,0.350999394,0.768541015,0.19383275,0.901096619,0.251209358,0.682333874,0.449871465,0.419396776,0.537042765,0.272740364,0.423183872,0.457785341,0.281609195,0.459873119,0.833005428,0.0657875,0.875,0.190751445,0.21313765,0.466666667,-1,0.177304965,0.317460317,0.397142857,0.66675143,0.384615385,0,0.075714286,0,0.277777778,0.875,2,4,1,1,1,3,1,3,3,4,3,1,1,3,3,1,1,3,3,3,2,3,3
3,5,0.637795276,0.846153846,0,0,0,0,0,0,0.42,0.760416667,0.95,0.99009901,1,0.837321494,0.812214914,0.870191908,0.912351308,0.351701783,0.473007712,0.46424857,0.276196737,0.167426679,0.186218283,0.454065881,0.66091954,0.11556195,1,0.2734375,0.375,0.167630058,0.157687408,0.466666667,0.666666667,0.219858156,0.373015873,0.362857143,0.497492163,0.287356323,0.426470588,0.222857143,0,0.828042328,0.375,5,4,0,1,1,2,1,1,4,4,3,4,2,4,2,4,1,1,1,3,2,3,3
8,6,0.527559055,0.692307692,0.118644068,0.240384615,0.088235294,0.356435644,0.074074074,0.377192982,0.08,0.395833333,0.641666667,0.871287129,0.453664446,0.810316198,0.080071752,0.937069037,0.481879461,0.578606159,0.700514139,0.265340614,0.327700874,0.290932655,0.429179701,0.57542239,0.298850575,0.268546766,0.92855619,0.1351375,1,0.317919075,0.35501529,0.5,0.666666667,0.34751773,0.407407407,0.374285714,0.675524475,0.26923077,0.425420168,0,0,0.142857143,1,5,4,1,1,1,3,1,3,1,1,3,3,1,1,3,1,3,3,3,3,3,3,3
1,7,0.503937008,1,0.033898305,0.076923077,0.029411765,0.089108911,0.074074074,0.377192982,0.05,0.239583333,0.458333333,0.772277228,0.33827983,0.866599081,0.132450671,0.925832849,0.816891356,0.675850891,0.637532134,0.096333853,0.75257134,0.097441559,0.628215155,0.539893035,1,0.339336476,0.795576836,0.81325,0.875,1,1,0.233333333,0.253968254,1,1,1,0.466592028,0.006157635,0.037815126,0.808571429,0,0,0.875,1,4,1,1,0,3,1,1,2,1,3,3,2,4,3,1,3,3,3,3,2,3,3
6,8,0.488188976,0.666666667,0.220338983,0.307692308,0.205882353,0.554455446,0.172839506,0.596491228,0.22,0.625,0.483333333,0.811881188,0.27195639,0.774623761,0.04504997,1,0.300852498,0.659643436,0.56940874,0.224128965,0.435697162,0.112945807,0.755344108,0.48162149,0.408045977,0.380954032,0.904615166,0.0925875,1,0.433526012,0.403864069,0.133333333,0.650793651,0.425531915,0.330687831,0.277142857,0.68200122,0.62080537,0.077731092,0.052857143,0.222,0,1,5,4,1,1,1,3,3,1,1,3,3,3,3,3,3,2,3,1,1,1,2,3,3
5,9,0.42519685,0.717948718,0.033898305,0.153846154,0.102941176,0.415841584,0.098765432,0.473684211,0.21,0.604166667,0.458333333,0.762376238,0.454875833,0.650591669,0.063261297,0.950548309,0.520162569,0.633711507,0.479434447,0.333333333,0.483334622,0.129746076,0.357055961,0.797799927,0.816091954,0.451535742,0.333775808,0.1,1,0.595375723,0.496360684,0.6,0.587301587,0.546099291,0.788359788,0.854285714,0.755015198,0.47112462,0.210084034,0.114285714,0,0,1,2,4,1,1,1,2,1,3,1,1,3,2,2,2,2,2,2,3,3,3,2,3,3
31,10,0.338582677,0.435897436,0.288135593,0.471153846,0.191176471,0.504950495,0.135802469,0.526315789,0.47,0.78125,0,0,0.417928528,0.580185629,0.062697531,0.505483094,0.621292625,0.059967585,0.354755784,0,0.460327894,1,0.692301008,0.994505895,0.293103448,0.906070166,0.755303767,0.0245125,1,0.416184971,0.232785136,0.4,0.682539683,0.219858156,0.288359788,0.488571429,0.409647495,0.535714285,0.040966387,0,0.176,0.518518519,1,1,4,1,0,1,2,1,1,1,1,3,3,1,1,3,1,1,1,3,3,3,1,3
