CID,CSRankingSystem,Average Count,Facult,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Fi-1cial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
13,11,0.307086614,0.666666667,0.13559322,0.326923077,0.117647059,0.475247525,0.086419753,0.49122807,0.1,0.479166667,0.525,0.821782178,0.327983041,0.917306112,0.055368583,1,0.230114988,0.578606159,0.749357326,0,0.449617199,0.173474776,0.652111575,0.538519509,0.390804598,0.371437981,0.905184061,0,0.75,0.231213873,0.27864647,0.266666667,0.650793651,0.234042553,0.328042328,0.357142857,0.804639498,0.189655173,0,0,0.032,0.682539683,0.75,1,4,1,1,1,3,3,1,4,4,3,3,2,3,3,3,3,1,3,3,2,3,3
12,12,0.299212598,0.666666667,0.423728814,0.548076923,0.117647059,0.366336634,0.074074074,0.359649123,0.41,0.802083333,0.191666667,0.386138614,0.465778316,0.58513223,0.199538738,1,0.550297383,0.416531605,0.584832905,0,0.407006419,0.857149714,0.541579771,0.715011547,0.229885057,0,0.720221869,0.277775,0.375,0.115606936,0.208016297,0.533333333,0.53968254,0.177304965,0.17989418,0.214285714,0.737967915,0.343137255,0.233193277,0,0,0,0.375,1,3,0,1,1,3,1,1,4,4,3,2,4,4,3,3,3,3,3,4,2,3,2
25,12,0.299212598,0.487179487,0.355932203,0.471153846,0.5,0.722772277,0.148148148,0.51754386,0.85,0.90625,0.233333333,0.574257426,0.400666263,0.574889444,0.084684377,0.307697101,0,0.578606159,0.667095116,0,0.418026448,0,0.540363226,0.974133949,0.183908046,0,0.954037974,0,1,0.098265896,0.18084595,0.6,0.73015873,0.156028369,0.288359788,0.379285714,0.664721845,0.67164179,0.349789916,0,0,0,1,2,4,1,0,1,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,3,1,3
22,12,0.299212598,0.41025641,0.06779661,0.144230769,0.029411765,0.138613861,0.024691358,0.140350877,0.05,0.229166667,0.391666667,0.702970297,0.771653543,0.714687735,0.1396942,1,0.734080095,0.25445705,0.562982005,0.520020801,0.533330756,0,0.454031978,0.787832746,0.247126437,0.254905359,0.833645436,0.178575,1,0.104046243,0.143064234,0.5,0.825396825,0.127659574,0.195767196,0.208571429,0.557575757,0.25462963,0.050420168,0,0.619,0,1,5,3,1,1,1,3,1,3,3,1,3,1,3,1,3,1,1,1,1,3,2,3,1
7,15,0.275590551,0.641025641,0.084745763,0.25,0.205882353,0.564356436,0.209876543,0.657894737,0.26,0.666666667,0.25,0.485148515,0.233192005,0.78210484,0.034987614,0.861531112,0.309159397,0.724473258,0.627249357,0.400026001,0.713865904,0.410262564,0.558611401,0.657809651,0.551724138,0.269638771,0.917794581,0.05555,1,0.427745665,0.471104485,0.666666667,0.492063492,0.460992908,0.584656085,0.517142857,0.786661699,0.450819673,0,0,0,0,1,3,4,1,1,0,3,3,1,1,1,3,3,3,1,3,1,3,1,1,3,2,1,2
11,16,0.25984252,0.41025641,0.084745763,0.192307692,0.279411765,0.623762376,0.061728395,0.359649123,1,1,1,1,0.449121744,0.821520337,0.09365337,0,0.338540841,1,0.553984576,0,0.351519604,0,0.189954814,0,0.350574713,0.56000832,0.742811767,0.048075,1,0.283236994,0.241181782,0.533333333,0.80952381,0.234042553,0.441798942,0.32,0.673343606,0.889830508,0.444327731,0,0,0,1,4,4,1,1,1,3,1,1,1,2,3,1,3,3,3,1,1,1,3,1,2,3,3
33,17,0.236220472,0.615384615,0.271186441,0.346153846,0.102941176,0.425742574,0.086419753,0.535087719,0.1,0.416666667,0.033333333,0.069306931,0.408843125,0.780776424,0.035670966,0.950548309,0.33445678,0.481361426,0.721079692,0,0.672453793,0.6000096,0.675703858,1,0.264367816,0.404440824,0.893735037,0,0.75,0.080924855,0.119472118,0.566666667,0.682539683,0.085106383,0.283068783,0.365714286,0.640810988,0.449640288,0,0,0.071,0.62962963,0.75,1,4,1,1,1,3,3,3,3,1,3,4,3,1,3,4,3,3,3,3,3,1,3
16,18,0.196850394,0.435897436,0.118644068,0.269230769,0.147058824,0.485148515,0.098765432,0.5,0.1,0.40625,0.183333333,0.415841584,0.443064809,0.765464683,0.017989237,1,0.401308485,0.222042139,0.595115681,0.300182007,0.616425644,0.3000048,0.525199861,0.869770269,0.574712644,0.024769465,0.832910612,0,0.75,0.312138728,0.419165806,0.9,0.206349206,0.411347518,0.529100529,0.691428571,0.799916598,0.447247708,0.170168067,0,0,1,0.75,5,4,1,0,1,3,3,1,1,4,1,4,3,3,3,3,3,3,3,3,3,1,1
23,19,0.165354331,0.256410256,0.050847458,0.115384615,0.029411765,0.069306931,0.024691358,0.070175439,0.07,0.3125,0.525,0.811881188,0.377952756,0.647288109,0.638780217,1,0.745400476,0.448946515,0.542416452,0,0.552393473,0.35122162,0.51724887,0.535407804,0.25862069,0.262636067,0.916040486,0.2941125,0.625,0.098265896,0.142401436,0.3,0.825396825,0.120567376,0.132275132,0.162857143,0.462987013,0.297619048,0.803571429,0,0,0,0.625,1,3,1,1,1,3,1,3,4,4,3,2,1,4,3,3,3,1,1,3,3,1,3
19,19,0.165354331,0.641025641,0.237288136,0.394230769,0.147058824,0.514851485,0.172839506,0.605263158,0.05,0.291666667,0.258333333,0.485148515,0.354936402,0.613326109,0.04576749,1,0.421074544,0.578606159,0.790488432,0.342173687,0.580001547,0.4500072,0.310349322,0.868226571,0.224137931,0.395323442,0.333775808,0.15625,1,0.23699422,0.23243876,0.666666667,0.634920635,0.234042553,0.243386243,0.351428571,0.627272727,0.675,0.218487395,0.06,0,0,1,2,4,1,1,1,3,3,3,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3
14,21,0.149606299,0.564102564,0.101694915,0.221153846,0.088235294,0.415841584,0.061728395,0.438596491,0.15,0.53125,0.341666667,0.643564356,0.370684434,1,0.041171948,1,0.4361023,0.675850891,0.557840617,0,0.580001547,0.369221908,0.446124435,0.743418014,0.557471264,0.382687374,0.792281983,0,0.75,0.352601156,0.356429168,0.433333333,0.682539683,0.34751773,0.502645503,0.48,0.618268813,0.801435408,0.06197479,0,0.118,0,0.75,3,4,1,1,1,3,3,3,1,4,3,4,1,1,3,1,3,1,3,3,2,1,3
9,22,0.133858268,0.435897436,0.06779661,0.144230769,0.058823529,0.247524752,0.049382716,0.298245614,0.02,0.125,0.6,0.891089109,0.231677771,0.708692384,0.432083369,1,1,0.578606159,0.607969152,0,0.483334622,0,0.31504171,0.784818281,0.264367816,0.10195521,1,0,0.875,0.202312139,0.213700468,0.7,0.53968254,0.262411348,0.259259259,0.251428571,0.703305786,0.37878788,0.429621849,0,0.455,0,0.875,1,4,1,1,1,3,1,1,1,1,3,3,2,4,3,1,1,1,1,3,2,1,3
36,22,0.133858268,0.230769231,0.355932203,0.403846154,0.088235294,0.366336634,0.061728395,0.394736842,0.18,0.635416667,0.616666667,0.861386139,0.329497274,0.913478177,0.135389083,1,0.533782712,0.578606159,0.857326478,0,0.429626479,0.711131378,0.0674748,0.704643248,0.028735632,0.173334258,1,0.15625,0.625,0.080924855,0.10552122,0.566666667,0,0.113475177,0.092592593,0.054285714,1,0,0.919117647,0,0,0,0.625,4,2,0,1,1,3,1,4,1,1,4,2,2,3,3,4,3,1,1,1,2,1,3
35,24,0.125984252,0.358974359,0.254237288,0.317307692,0.102941176,0.336633663,0.037037037,0.210526316,0.39,0.729166667,0.208333333,0.514851485,0.537250151,0.637884323,0.263876313,1,0.399563838,0.546191248,0.332904884,0,0.266684711,0.15998656,1,0.636696244,0.137931034,0.305882965,1,0,0.875,0.104046243,0.117389367,0.4,0.365079365,0.120567376,0.076719577,0.088571429,0.586803519,0.282258065,0,0,1,0,0.875,3,2,1,1,1,3,1,3,1,1,3,3,3,3,1,4,1,1,1,1,2,3,3
18,25,0.102362205,0.384615385,1,0.932692308,0.808823529,0.98019802,0.24691358,0.728070175,0.76,0.958333333,0.45,0.742574257,0.122047244,0.895509605,0,1,0.24316019,0.410048622,0,0,0.725001933,0.266692267,0.22323601,0.817709979,0.034482759,0.192591694,0.939057055,0,0.875,0.011560694,0.061523958,0,0.634920635,0.035460993,0.060846561,0.091428571,0.537662338,0.625,0,0,0,0.611111111,0.875,1,2,1,1,1,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3
17,26,0.094488189,0.461538462,0.06779661,0.259615385,0.102941176,0.366336634,0.12345679,0.447368421,0.64,0.854166667,0.825,0.940594059,0.412477286,0.604009718,0.123772102,0.851644928,0.564968279,0.351701783,0.502570694,0.382345294,0.341195577,0.392742284,0.329944387,0.441424578,0.649425287,0.325001733,0.935122194,0.3125,0.625,0.184971098,0.227848445,0.3,0.698412698,0.19858156,0.412698413,0.408571429,0.359342166,0.21356784,0.337184874,0.357142857,0.286,0,0.625,5,4,0,1,1,3,1,1,1,1,3,4,3,4,1,4,1,1,1,3,3,3,3
28,27,0.086614173,0.282051282,0.305084746,0.423076923,0.382352941,0.673267327,0.172839506,0.578947368,0.29,0.729166667,0.525,0.841584158,0.321926105,0.719861565,0.044725378,0.515390047,0.684139572,0.675850891,0.575835476,0,0.315636842,0.189459031,0.498522767,0.685340951,0.488505747,0,0.457486904,0.0833375,0.75,0.190751445,0.254893246,0.6,0.603174603,0.269503546,0.407407407,0.422857143,0.406402049,0.334507043,0.034663866,0,0.133,0.441798942,0.75,2,4,1,0,1,3,1,3,3,4,3,4,2,3,3,2,3,3,3,3,3,3,2
27,27,0.086614173,0.41025641,0.86440678,0.817307692,0.867647059,0.920792079,0.530864198,0.842105263,0.3,0.71875,0.108333333,0.267326733,0.127195639,0.491164287,0.024805672,0.925832849,0.091712926,0.79471637,0.658097686,0.634165367,0.246809991,0.165506648,0.833029197,0.895636319,0.206896552,0,0,0.11905,0.875,0.179190751,0.247017035,0.233333333,0.888888889,0.255319149,0.261904762,0.162857143,0.377581642,0.898058253,0.050420168,0,0,0,0.875,1,4,1,0,1,3,1,1,4,1,3,1,2,1,3,2,3,1,1,1,2,1,3
20,27,0.086614173,0.333333333,0.152542373,0.317307692,0.044117647,0.257425743,0.024691358,0.157894737,0.14,0.59375,0.866666667,0.98019802,0.427922471,0.885109507,0.349978645,1,0.513164155,0.578606159,0.502570694,0,0.483334622,0,0.413799096,0.465941412,0.068965517,0.311117659,0.850759713,0.2083375,0.75,0.132947977,0.107051728,0.133333333,-1,0.14893617,0.068783069,0.06,0.257342657,0,0.175420168,0.238571429,0.667,0,0.75,1,2,1,0,1,3,1,3,1,4,3,3,1,4,3,3,3,1,1,1,3,3,3
26,30,0.078740157,0.435897436,0.474576271,0.528846154,0.205882353,0.554455446,0.160493827,0.578947368,0.27,0.625,0.266666667,0.524752475,0.335857056,0.750187901,0.010814043,0.799015535,0.73370341,0,0.690231362,0.361154446,0.407006419,0.63999424,0.644899201,0.568968032,0.195402299,0.301445608,0.303505819,0.078125,1,0.173410405,0.15948456,0.466666667,0.777777778,0.191489362,0.283068783,0.382857143,0.491781818,0.44,0,0.09,0.063,0,1,5,4,0,0,1,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,3,3
30,30,0.078740157,0.333333333,0.813559322,0.826923077,0.367647059,0.712871287,0.259259259,0.798245614,0.12,0.583333333,0.325,0.633663366,0,0.952753841,0.054360639,1,0.33001586,0.25445705,0.551413882,1,0,0.92310277,0.594803615,0.455816215,0.028735632,0.678256951,0.69381563,0,0.625,0.040462428,0.064813862,0.666666667,0.603174603,0.021276596,0.037037037,0.057142857,0,0.572916668,0.933823529,0,0,0,0.625,2,2,1,1,1,3,3,1,1,4,3,3,1,1,3,1,3,-1,-1,3,3,3,3
32,32,0.070866142,0.282051282,0.474576271,0.557692308,0.529411765,0.722772277,0.592592593,0.859649123,0.13,0.46875,0.066666667,0.118811881,0.033010297,0.597087973,0.039412317,1,0.628588422,0.578606159,0.485861183,0.838793552,0.580001547,0.744827917,0.658063956,0.776163851,0.235632184,0.866671289,0.39791879,0.06945,0.875,0.369942197,0.256994531,-1,-1,0.205673759,0.349206349,0.337142857,0.43322433,0.71942446,0.116596639,0,0,0,0.875,4,4,1,0,1,3,3,1,2,4,3,3,1,1,3,1,3,3,3,1,2,1,3
46,32,0.070866142,0.256410256,0.576271186,0.605769231,0.514705882,0.712871287,0.24691358,0.649122807,0.23,0.666666667,0.158333333,0.336633663,0.190187765,0.570642009,0.150337405,0.755649248,0.139314036,0.416531605,0.719794344,0.565262611,0.618668316,0.137138194,0.80000869,0.729305944,0.057471264,0,0.728304928,0,0.625,0.052023121,0.127213278,0.733333333,0.587301587,0.09929078,0.148148148,0.231428571,0.794545454,0.444444445,0,0,0.087,0,0.625,3,3,1,1,1,3,3,1,1,4,3,2,1,4,2,4,2,1,1,3,2,1,3
39,34,0.062992126,0.205128205,0.610169492,0.673076923,0.397058824,0.643564356,0.271604938,0.605263158,0.35,0.8125,0.266666667,0.623762376,0.366444579,0.263777945,0.157358845,1,0.258267248,0.539708266,0.771208226,0,0.368262315,0,0.813303789,0.733499453,0.022988506,0.150731471,0.508355655,0.1388875,0.625,0.040462428,0.070960813,0.366666667,0.80952381,0.070921986,0.063492063,0.022857143,0.501818182,1,0,0.158571429,0,0,0.625,2,2,0,1,1,3,1,1,1,1,1,1,3,-1,3,-1,1,1,-1,2,2,1,2
34,35,0.05511811,0.538461538,0.559322034,0.576923077,0.985294118,0.95049505,1,1,0.26,0.614583333,0.183333333,0.405940594,0.084797093,0,0.050773042,0.370628063,0.432652657,0.481361426,0.857326478,0.928627145,0.644459052,0.097969568,0.625,0.778959524,0.109195402,0.770366775,0.16412639,0.037875,0.75,0.219653179,0.162635306,0.466666667,0.746031746,0.134751773,0.291005291,0.294285714,0.296212121,0.729166668,0,0,0,0,0.75,2,4,1,0,1,3,1,1,1,1,3,1,4,4,3,1,3,1,3,2,3,3,3
49,35,0.05511811,0.205128205,0.576271186,0.663461538,0.441176471,0.663366337,0.530864198,0.780701754,0,0.21875,0.575,0.861386139,0.245003028,0.387547849,0.012231998,0.826929467,0.598770817,0.416531605,1,0,0,0.685738972,0.219499479,0.741169321,0,0.456146433,0.623533316,0,0.875,0.01734104,0.045885472,0.5,-1,0.021276596,0.018518519,0.074285714,0.774866311,0.661764705,0.095588235,0,0,0,0.875,5,2,1,1,1,3,1,1,1,4,3,3,1,3,3,1,3,3,3,3,2,3,3
54,37,0.047244094,0.282051282,0.983050847,1,1,1,0.901234568,0.98245614,0.58,0.864583333,0.141666667,0.287128713,0.004542701,0.301952422,0.008593149,1,0.915860428,0.144246353,0.154241645,0.342173687,0.305274147,0.564729036,0.634167536,0.858782059,0.218390805,0.389118075,0.689785953,0.0329,0.75,0.190751445,0.235791788,0.7,0.571428571,0.191489362,0.396825397,0.68,0.320454546,0.448369565,0,0,0,0.14021164,0.75,3,4,0,1,1,3,1,1,1,4,1,1,1,4,2,2,2,1,1,1,2,1,3
50,37,0.047244094,0.358974359,0.610169492,0.653846154,0.514705882,0.722772277,0.518518519,0.842105263,0.23,0.604166667,0.125,0.277227723,0.056632344,0.579468983,0.045528316,0.653838166,0.359040444,0.25445705,0.673521851,0.722308892,0.351519604,0.423558777,0.704770594,0.806551598,0.120689655,1,0.525920307,0,0.75,0.50867052,0.320447515,0.4,0.682539683,0.234042553,0.193121693,0.342857143,0.59876033,0.823863638,0,0,0,0.097883598,0.75,3,3,1,0,1,3,1,1,1,1,3,4,1,4,3,3,3,1,1,3,3,1,3
56,39,0.039370079,0.333333333,0.694915254,0.730769231,0.911764706,0.96039604,0.530864198,0.824561404,0.71,0.885416667,0.291666667,0.594059406,0.109024833,0.450560207,0.061723755,0.350959541,0.204460745,0.416531605,0.570694087,0.393915757,0.471541257,0.114289829,0.544925269,0.813528625,0.143678161,0.392463426,0.258397137,0,0.875,0.213872832,0.205716935,0.733333333,0.650793651,0.212765957,0.246031746,0.202857143,0.585454546,0.761904763,0.12394958,0,0.235,0.156084656,0.875,3,4,1,1,1,3,3,3,1,1,3,3,3,3,1,1,3,1,3,3,4,3,3
21,39,0.039370079,0.358974359,0.13559322,0.230769231,0.044117647,0.158415842,0.061728395,0.333333333,0.08,0.34375,0.741666667,0.910891089,0.525741975,0.699987765,0.112086786,1,0.588739096,0.805510535,0.674807198,0.361154446,0.309334158,0.26184419,0.326381648,0.597277258,0.304597701,0.420196908,1,0.625,0.875,0.289017341,0.225415493,0.4,0.507936508,0.276595745,0.216931217,0.214285714,0,0.023148148,0.525210084,0.714285714,0,0,0.875,1,3,1,1,1,3,1,1,3,4,3,3,3,2,3,3,1,1,1,3,3,1,3
41,41,0.031496063,0.205128205,0.830508475,0.884615385,0.176470588,0.534653465,0.160493827,0.622807018,0.22,0.697916667,0.483333333,0.831683168,0.341913992,0.744175071,0,1,0.313065028,0.983792545,0.609254499,0,0.22743794,0,0.479622871,0.817709979,0.040229885,0.18245164,0.585180269,0.8928625,0.875,0.01734104,0.06410435,0.333333333,0.746031746,0.042553191,0.055555556,0.111428571,0,0.37037037,0.150210084,0.815714286,0,0,0.875,1,2,1,1,1,3,3,3,1,4,3,2,3,2,3,1,2,3,2,3,2,2,2
