CID,CSRankingAllArea,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
41,41,0.01183432,0.009259259,0.830508475,0.948453608,0.179104478,0.545454545,0.160493827,0.622807018,0.22,0.697916667,0.483333333,0.831683168,0.341913992,0.744175071,0,1,0.313065028,0.983792545,0.609254499,0,0.22743794,0,0.479622871,0.817709979,0.040229885,0.18245164,0.585180269,0.8928625,0.875,0.01734104,0.019095063,0.333333333,0.746031746,0.02173913,0.037735849,0.090643275,0,0.37037037,0.150210084,0.815714286,0,0,0.875,1,2,1,1,1,3,3,3,1,4,3,2,3,2,3,1,2,3,2,3,2,2,2
42,41,0.01183432,0.166666667,0.779661017,0.845360825,0.746268657,0.95959596,0.320987654,0.728070175,0.36,0.729166667,0.441666667,0.722772277,0.038461538,0.87012987,0.045203724,0.480767633,0.684952419,0.358055105,0.471722365,0.684217369,0.719395252,0.342869486,0.700078206,0.325075969,0.172413793,0.180562296,0.078175741,0,0.625,0.184971098,0.202343238,0.633333333,0.428571429,0.210144928,0.121293801,0.160818713,0.562962962,0.185185185,0.066176471,0,0.375,0,0.625,5,3,1,0,1,3,1,1,4,4,3,3,2,4,3,1,1,3,1,3,3,3,3
43,41,0.01183432,0.074074074,0.06779661,0.154639175,0.089552239,0.414141414,0.061728395,0.359649123,0.17,0.614583333,0.8,0.930693069,0.191096305,0.841708762,0.308037926,1,0.247085646,0.740680713,0.642673522,0.5,0.594888253,0.221523544,0.200816823,0.541363802,0.281609195,0.396190113,0.865882855,0,1,0.10982659,0.099309243,0,0.841269841,0.094202899,0.210242588,0.269005848,0.862059974,0.190677965,0.031512605,0,0,0,1,3,4,1,1,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3
44,41,0.01183432,0.037037037,0.813559322,0.927835052,0.119402985,0.414141414,0.345679012,0.754385965,0.04,0.260416667,0.375,0.752475248,0.18322229,0.609463215,0.021969762,1,0.310368755,0.497568882,0.857326478,0,0.257791354,0,0.521637122,0.879299866,0.091954023,0.433335644,0.854125679,1,0.875,0.023121387,0.012243696,0.8,0.603174603,0.007246377,0.016172507,0.005847953,0,0,0.210084034,1,0,0,0.875,1,2,1,1,1,3,3,3,3,3,3,3,3,1,1,1,4,3,3,3,3,1,3
45,45,0.00591716,0.037037037,0.372881356,0.463917526,0.208955224,0.565656566,0.197530864,0.631578947,0.03,0.229166667,0.658333333,0.910891089,0.249848577,0.753246753,0.054941488,1,0.643933386,0.189627229,0.609254499,0,0.736524631,0,0.132994439,0.793800899,0.051724138,0.333339111,1,0,1,0.057803468,0.017008743,0.066666667,0.73015873,0.050724638,0.021563342,0.00877193,0,0,0.525210084,0,0.5,0,1,1,2,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1
46,45,0.00591716,0.037037037,0.576271186,0.649484536,0.52238806,0.727272727,0.24691358,0.649122807,0.23,0.666666667,0.158333333,0.336633663,0.190187765,0.570642009,0.150337405,0.755649248,0.139314036,0.416531605,0.719794344,0.565262611,0.618668316,0.137138194,0.80000869,0.729305944,0.057471264,0,0.728304928,0,0.625,0.052023121,0.08523904,0.733333333,0.587301587,0.079710145,0.132075472,0.213450292,0.74051282,0.444444445,0,0,0.087,0,0.625,3,3,1,1,1,3,3,1,1,4,3,2,1,4,2,4,2,1,1,3,2,1,3
47,45,0.00591716,0.037037037,0.169491525,0.329896907,0.119402985,0.464646465,0.111111111,0.51754386,0,0,0.558333333,0.841584158,0.439127801,0.640418801,0.053318527,1,0.818655829,0.578606159,0.857326478,0.928627145,0.257791354,0.48000768,0,0.83928528,0.149425287,0.108333911,0.668760519,0.1136375,0.75,0,0.005958987,0.433333333,0.857142857,0.007246377,0.002695418,0.032163743,0.612454213,0.952380953,0,0,0,0,0.75,1,2,1,1,1,2,3,1,1,1,1,2,4,4,3,1,2,3,3,3,2,1,2
48,48,0,0,0.406779661,0.597938144,0.28358209,0.636363636,0.197530864,0.675438596,0.2,0.541666667,0.166666667,0.336633663,0.27195639,0.720473336,0,0.785141647,0.566137986,0.25445705,0.514138817,0.44825793,0.407006419,0.411414583,0.564433438,0.856569831,0.270114943,0.389118075,0.695735653,0.15625,1,0.190751445,0.172637126,-1,-1,0.173913043,0.291105121,0.368421053,0.608,0.54,0,0.178571429,0,0.111111111,1,5,4,1,0,1,3,1,3,1,1,3,1,3,3,3,3,3,1,3,3,3,1,3
49,48,0,0.037037037,0.576271186,0.711340206,0.447761194,0.676767677,0.530864198,0.780701754,0,0.21875,0.575,0.861386139,0.245003028,0.387547849,0.012231998,0.826929467,0.598770817,0.416531605,1,0,0,0.685738972,0.219499479,0.741169321,0,0.456146433,0.623533316,0,0.875,0.01734104,0,0.5,-1,0,0,0.052631579,0.722171946,0.661764705,0.095588235,0,0,0,0.875,5,2,1,1,1,3,1,1,1,4,3,3,1,3,3,1,3,3,3,3,2,3,3
50,48,0,0.166666667,0.610169492,0.701030928,0.52238806,0.737373737,0.518518519,0.842105263,0.23,0.604166667,0.125,0.277227723,0.056632344,0.579468983,0.045528316,0.653838166,0.359040444,0.25445705,0.673521851,0.722308892,0.351519604,0.423558777,0.704770594,0.806551598,0.120689655,1,0.525920307,0,0.75,0.50867052,0.287766337,0.4,0.682539683,0.217391304,0.177897574,0.32748538,0.558041958,0.823863638,0,0,0,0.097883598,0.75,3,3,1,0,1,3,1,1,1,1,3,4,1,4,3,3,3,1,1,3,3,1,3
51,48,0,0.027777778,0.627118644,0.742268041,0.298507463,0.646464646,0.222222222,0.710526316,0.57,0.854166667,0.55,0.821782178,0.157480315,0.892241003,0.014128299,0.884605799,0.532850912,0.244732577,0.514138817,0,0.309334158,0.411414583,0.522897115,0.566123739,0.08045977,0.866671289,0.762960154,0,0.75,0.196531792,0.09099581,0.6,0.619047619,0.079710145,0.086253369,0.149122807,1,0,-1,-1,-1,-1,0.75,2,3,0,1,1,2,1,1,1,4,3,2,1,4,3,1,3,1,1,2,2,3,2
