CID,CSRankingAllArea,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
13,13,0.284023669,0.305555556,0.13559322,0.350515464,0.119402985,0.484848485,0.086419753,0.49122807,0.1,0.479166667,0.525,0.821782178,0.327983041,0.917306112,0.055368583,1,0.230114988,0.578606159,0.749357326,0,0.449617199,0.173474776,0.652111575,0.538519509,0.390804598,0.371437981,0.905184061,0,0.75,0.231213873,0.243954988,0.266666667,0.650793651,0.217391304,0.315363881,0.342105263,0.749920424,0.189655173,0,0,0.032,0.682539683,0.75,1,4,1,1,1,3,3,1,4,4,3,3,2,3,3,3,3,1,3,3,2,3,3
14,14,0.24260355,0.259259259,0.101694915,0.237113402,0.089552239,0.424242424,0.061728395,0.438596491,0.15,0.53125,0.341666667,0.643564356,0.370684434,1,0.041171948,1,0.4361023,0.675850891,0.557840617,0,0.580001547,0.369221908,0.446124435,0.743418014,0.557471264,0.382687374,0.792281983,0,0.75,0.352601156,0.325478427,0.433333333,0.682539683,0.333333333,0.493261456,0.467836257,0.576223777,0.801435408,0.06197479,0,0.118,0,0.75,3,4,1,1,1,3,3,3,1,4,3,4,1,1,3,1,3,1,3,3,2,1,3
15,15,0.218934911,0.194444444,0.152542373,0.257731959,0.134328358,0.494949495,0.061728395,0.359649123,0.45,0.760416667,0.691666667,0.900990099,0.350999394,0.768541015,0.19383275,0.901096619,0.251209358,0.682333874,0.449871465,0.419396776,0.537042765,0.272740364,0.423183872,0.457785341,0.281609195,0.459873119,0.833005428,0.0657875,0.875,0.190751445,0.175295704,0.466666667,-1,0.15942029,0.30458221,0.383040936,0.621409359,0.384615385,0,0.075714286,0,0.277777778,0.875,2,4,1,1,1,3,1,3,3,4,3,1,1,3,3,1,1,3,3,3,2,3,3
16,16,0.177514793,0.305555556,0.118644068,0.288659794,0.149253731,0.494949495,0.098765432,0.5,0.1,0.40625,0.183333333,0.415841584,0.443064809,0.765464683,0.017989237,1,0.401308485,0.222042139,0.595115681,0.300182007,0.616425644,0.3000048,0.525199861,0.869770269,0.574712644,0.024769465,0.832910612,0,0.75,0.312138728,0.391232208,0.9,0.206349206,0.398550725,0.520215633,0.684210526,0.745518702,0.447247708,0.170168067,0,0,1,0.75,5,4,1,0,1,3,3,1,1,4,1,4,3,3,3,3,3,3,3,3,3,1,1
17,17,0.171597633,0.166666667,0.06779661,0.278350515,0.104477612,0.373737374,0.12345679,0.447368421,0.64,0.854166667,0.825,0.940594059,0.412477286,0.604009718,0.123772102,0.851644928,0.564968279,0.351701783,0.502570694,0.382345294,0.341195577,0.392742284,0.329944387,0.441424578,0.649425287,0.325001733,0.935122194,0.3125,0.625,0.184971098,0.190713973,0.3,0.698412698,0.18115942,0.401617251,0.394736842,0.334905296,0.21356784,0.337184874,0.357142857,0.286,0,0.625,5,4,0,1,1,3,1,1,1,1,3,4,3,4,1,4,1,1,1,3,3,3,3
18,18,0.153846154,0.296296296,1,1,0.820895522,1,0.24691358,0.728070175,0.76,0.958333333,0.45,0.742574257,0.122047244,0.895509605,0,1,0.24316019,0.410048622,0,0,0.725001933,0.266692267,0.22323601,0.817709979,0.034482759,0.192591694,0.939057055,0,0.875,0.011560694,0.016390575,0,0.634920635,0.014492754,0.043126685,0.070175439,0.501098902,0.625,0,0,0,0.611111111,0.875,1,2,1,1,1,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3
19,19,0.130177515,0.259259259,0.237288136,0.422680412,0.149253731,0.525252525,0.172839506,0.605263158,0.05,0.291666667,0.258333333,0.485148515,0.354936402,0.613326109,0.04576749,1,0.421074544,0.578606159,0.790488432,0.342173687,0.580001547,0.4500072,0.310349322,0.868226571,0.224137931,0.395323442,0.333775808,0.15625,1,0.23699422,0.195525047,0.666666667,0.634920635,0.217391304,0.229110512,0.33625731,0.584615385,0.675,0.218487395,0.06,0,0,1,2,4,1,1,1,3,3,3,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3
20,20,0.118343195,0.138888889,0.152542373,0.340206186,0.044776119,0.262626263,0.024691358,0.157894737,0.14,0.59375,0.866666667,0.98019802,0.427922471,0.885109507,0.349978645,1,0.513164155,0.578606159,0.502570694,0,0.483334622,0,0.413799096,0.465941412,0.068965517,0.311117659,0.850759713,0.2083375,0.75,0.132947977,0.064107876,0.133333333,-1,0.130434783,0.051212938,0.038011696,0.239842209,0,0.175420168,0.238571429,0.667,0,0.75,1,2,1,0,1,3,1,3,1,4,3,3,1,4,3,3,3,1,1,1,3,3,3
21,20,0.118343195,0.166666667,0.13559322,0.24742268,0.044776119,0.161616162,0.061728395,0.333333333,0.08,0.34375,0.741666667,0.910891089,0.525741975,0.699987765,0.112086786,1,0.588739096,0.805510535,0.674807198,0.361154446,0.309334158,0.26184419,0.326381648,0.597277258,0.304597701,0.420196908,1,0.625,0.875,0.289017341,0.188164016,0.4,0.507936508,0.260869565,0.202156334,0.195906433,0,0.023148148,0.525210084,0.714285714,0,0,0.875,1,3,1,1,1,3,1,1,3,4,3,3,3,2,3,3,1,1,1,3,3,1,3
22,22,0.106508876,0.12962963,0.06779661,0.154639175,0.029850746,0.141414141,0.024691358,0.140350877,0.05,0.229166667,0.391666667,0.702970297,0.771653543,0.714687735,0.1396942,1,0.734080095,0.25445705,0.562982005,0.520020801,0.533330756,0,0.454031978,0.787832746,0.247126437,0.254905359,0.833645436,0.178575,1,0.104046243,0.101852303,0.5,0.825396825,0.108695652,0.180592992,0.19005848,0.519658119,0.25462963,0.050420168,0,0.619,0,1,5,3,1,1,1,3,1,3,3,1,3,1,3,1,3,1,1,1,1,3,2,3,1
23,22,0.106508876,0.12037037,0.050847458,0.12371134,0.029850746,0.070707071,0.024691358,0.070175439,0.07,0.3125,0.525,0.811881188,0.377952756,0.647288109,0.638780217,1,0.745400476,0.448946515,0.542416452,0,0.552393473,0.35122162,0.51724887,0.535407804,0.25862069,0.262636067,0.916040486,0.2941125,0.625,0.098265896,0.101157629,0.3,0.825396825,0.101449275,0.115902965,0.143274854,0.431501831,0.297619048,0.803571429,0,0,0,0.625,1,3,1,1,1,3,1,3,4,4,3,2,1,4,3,3,3,1,1,3,3,1,3
24,24,0.094674556,0.138888889,0.254237288,0.443298969,0.164179104,0.494949495,0.074074074,0.342105263,0.21,0.614583333,0.633333333,0.871287129,0.235614779,0.579713691,0.367677458,1,0.382751784,0.361426256,0.440874036,0,0.362500967,0.177794845,0.325469239,0.741169321,0.195402299,0.05252028,0.895939507,0.125,0.875,0.098265896,0.118465566,0.3,0.873015873,0.130434783,0.110512129,0.108187135,0.577571826,0.78313253,0,0,0,0,0.875,1,3,1,1,1,3,1,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3
25,24,0.094674556,0.231481481,0.355932203,0.505154639,0.507462687,0.737373737,0.148148148,0.51754386,0.85,0.90625,0.233333333,0.574257426,0.400666263,0.574889444,0.084684377,0.307697101,0,0.578606159,0.667095116,0,0.418026448,0,0.540363226,0.974133949,0.183908046,0,0.954037974,0,1,0.098265896,0.141451025,0.6,0.73015873,0.137681159,0.274932615,0.364766082,0.619517795,0.67164179,0.349789916,0,0,0,1,2,4,1,0,1,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,3,1,3
26,26,0.088757396,0.12037037,0.474576271,0.567010309,0.208955224,0.565656566,0.160493827,0.578947368,0.27,0.625,0.266666667,0.524752475,0.335857056,0.750187901,0.010814043,0.799015535,0.73370341,0,0.690231362,0.361154446,0.407006419,0.63999424,0.644899201,0.568968032,0.195402299,0.301445608,0.303505819,0.078125,1,0.173410405,0.119062319,0.466666667,0.777777778,0.173913043,0.269541779,0.368421053,0.458338461,0.44,0,0.09,0.063,0,1,5,4,0,0,1,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,3,3
27,27,0.082840237,0.175925926,0.86440678,0.87628866,0.880597015,0.939393939,0.530864198,0.842105263,0.3,0.71875,0.108333333,0.267326733,0.127195639,0.491164287,0.024805672,0.925832849,0.091712926,0.79471637,0.658097686,0.634165367,0.246809991,0.165506648,0.833029197,0.895636319,0.206896552,0,0,0.11905,0.875,0.179190751,0.210804423,0.233333333,0.888888889,0.239130435,0.247978437,0.143274854,0.351904406,0.898058253,0.050420168,0,0,0,0.875,1,4,1,0,1,3,1,1,4,1,3,1,2,1,3,2,3,1,1,1,2,1,3
28,27,0.082840237,0.212962963,0.305084746,0.453608247,0.388059701,0.686868687,0.172839506,0.578947368,0.29,0.729166667,0.525,0.841584158,0.321926105,0.719861565,0.044725378,0.515390047,0.684139572,0.675850891,0.575835476,0,0.315636842,0.189459031,0.498522767,0.685340951,0.488505747,0,0.457486904,0.0833375,0.75,0.190751445,0.219059419,0.6,0.603174603,0.253623188,0.396226415,0.409356725,0.378764897,0.334507043,0.034663866,0,0.133,0.441798942,0.75,2,4,1,0,1,3,1,3,3,4,3,4,2,3,3,2,3,3,3,3,3,3,2
29,29,0.065088757,0.092592593,0.338983051,0.463917526,0.432835821,0.666666667,0.209876543,0.535087719,0.23,0.625,0.325,0.663366337,0.353422168,0.442729545,0.131357308,1,0.198017446,0.902755267,0.670951157,0.722308892,0.44613719,0,0.931004519,0.468834326,0.086206897,0.17931429,0.249057767,0.059525,1,0.075144509,0.062904039,0.6,0.619047619,0.086956522,0.078167116,0.087719298,0,0.809859155,1,-1,-1,-1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3
30,30,0.059171598,0.194444444,0.813559322,0.886597938,0.373134328,0.727272727,0.259259259,0.798245614,0.12,0.583333333,0.325,0.633663366,0,0.952753841,0.054360639,1,0.33001586,0.25445705,0.551413882,1,0,0.92310277,0.594803615,0.455816215,0.028735632,0.678256951,0.69381563,0,0.625,0.040462428,0.019838698,0.666666667,0.603174603,0,0.018867925,0.035087719,0,0.572916668,0.933823529,0,0,0,0.625,2,2,1,1,1,3,3,1,1,4,3,3,1,1,3,1,3,-1,-1,3,3,3,3
